 
 _    _ _____ _____ _____            
| |  | |  ___/  ___|_   _|           
| |  | | |__ \ `--.  | |_ __  _   _  
| |/\| |  __| `--. \ | | '_ \| | | | 
\  /\  / |___/\__/ / | | |_) | |_| | 
 \/  \/\____/\____/  \_/ .__/ \__, | 
                       | |     __/ | 
                       |_|    |___/  
 
WEST version     :  6.0.0
Today            :  2025-05-25 22:56:07.944310
-----------------------------------------------------
===============================================================
Building effective Hamiltonian...
nspin: 2
occupations: [[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.]]
===============================================================
               diag[1RDM - 1RDM(GS)]         ...                           
   E [eV] char                  1238   1239  ...   1245   1246   1247  1248
0   0.000   3-                 0.000  0.000  ...  0.000  0.000  0.000 0.000
1   0.156   3-                -0.002 -0.002  ...  0.004  0.001  0.000 0.007
2   0.156   3-                -0.002 -0.002  ...  0.004  0.000  0.000 0.007
3   1.338   3-                -0.003 -0.000  ...  0.004  0.008  0.009 0.179
4   1.340   3-                -0.000 -0.003  ...  0.004  0.009  0.006 0.179
5   1.523   5-                -0.000 -0.000  ... -0.000  0.004  0.007 0.007
6   1.732   3-                -0.000 -0.000  ... -0.002  0.093  0.044 0.001
7   1.739   3-                -0.001 -0.001  ... -0.000  0.251  0.245 0.000
8   1.816   3-                -0.001 -0.001  ...  0.001  0.218  0.133 0.001
9   1.842   3-                -0.001 -0.001  ...  0.000  0.226  0.223 0.018
10  1.844   3-                -0.001 -0.001  ...  0.000  0.220  0.228 0.017
11  1.885   3-                -0.001 -0.001  ...  0.000  0.092  0.079 0.009
12  1.993   3-                -0.002 -0.002  ...  0.001  0.087  0.035 0.027
13  1.993   3-                -0.002 -0.002  ...  0.001  0.014  0.109 0.027
14  2.069   3-                -0.000 -0.000  ...  0.000  0.099  0.009 0.010
15  2.108   3-                -0.000 -0.000  ...  0.027  0.024  0.013 0.168
16  2.110   3-                -0.000 -0.000  ...  0.028  0.015  0.190 0.004
17  2.122   3-                -0.003 -0.003  ...  0.012  0.270  0.126 0.022
18  2.122   3-                -0.003 -0.003  ...  0.014  0.119  0.281 0.013
19  2.166   3-                -0.010 -0.002  ...  0.383  0.005  0.011 0.027
20  2.167   3-                -0.002 -0.010  ...  0.382  0.008  0.016 0.020
21  2.206   3-                -0.002 -0.002  ...  0.001  0.004  0.042 0.045
22  2.271   4-                -0.061 -0.426  ...  0.006  0.001  0.001 0.018
23  2.271   4-                -0.426 -0.061  ...  0.006  0.001  0.001 0.018
24  2.407   3-                -0.006 -0.006  ...  0.013  0.001  0.006 0.054
25  2.572   4-                -0.026 -0.476  ...  0.000 -0.000  0.033 0.057
26  2.572   4-                -0.476 -0.026  ...  0.000 -0.000  0.033 0.058
27  2.630   3-                -0.005 -0.000  ...  0.023  0.008  0.001 0.012
28  2.630   3-                -0.000 -0.005  ...  0.023  0.009  0.000 0.012
29  2.710   4-                -0.004 -0.001  ...  0.014  0.235 -0.000 0.005
30  2.710   4-                -0.001 -0.004  ...  0.014  0.235 -0.000 0.005
31  2.713   3-                -0.250 -0.253  ...  0.002  0.068 -0.000 0.004
32  2.721   3-                -0.250 -0.253  ...  0.002  0.068 -0.000 0.004
33  2.721   3-                -0.253 -0.250  ...  0.002  0.068 -0.000 0.004
34  2.728   3-                -0.253 -0.250  ...  0.002  0.068  0.000 0.004
35  2.777   4-                -0.043 -0.457  ...  0.015  0.096  0.001 0.001
36  2.777   4-                -0.457 -0.043  ...  0.015  0.096  0.001 0.001
37  2.782   3-                -0.244 -0.257  ...  0.000  0.001  0.045 0.082
38  2.782   3-                -0.239 -0.263  ...  0.000  0.001  0.058 0.069
39  2.784   3-                -0.261 -0.241  ...  0.000  0.002  0.051 0.075
40  2.784   3-                -0.259 -0.243  ...  0.000  0.001  0.052 0.075
41  2.811   4-                -0.000 -0.000  ...  0.354  0.027  0.002 0.025
42  2.878   4-                -0.004 -0.005  ...  0.050  0.005  0.015 0.231
43  2.882   4-                -0.242 -0.253  ...  0.005  0.175  0.002 0.028
44  2.889   4-                -0.247 -0.256  ...  0.004  0.179  0.001 0.025
45  2.889   4-                -0.257 -0.246  ...  0.004  0.179  0.001 0.024
46  2.896   4-                -0.256 -0.247  ...  0.004  0.179  0.001 0.025
47  2.940   4-                -0.121 -0.381  ... -0.000  0.001  0.065 0.098
48  2.940   4-                -0.381 -0.121  ... -0.000  0.001  0.078 0.086
49  3.175   3-                -0.003 -0.002  ...  0.011  0.002  0.274 0.182

[50 rows x 13 columns]
-----------------------------------------------------

