 
 _    _ _____ _____ _____            
| |  | |  ___/  ___|_   _|           
| |  | | |__ \ `--.  | |_ __  _   _  
| |/\| |  __| `--. \ | | '_ \| | | | 
\  /\  / |___/\__/ / | | |_) | |_| | 
 \/  \/\____/\____/  \_/ .__/ \__, | 
                       | |     __/ | 
                       |_|    |___/  
 
WEST version     :  6.0.0
Today            :  2025-05-22 14:00:06.187052
-----------------------------------------------------
===============================================================
Building effective Hamiltonian...
nspin: 2
occupations: [[1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0.]]
===============================================================
               diag[1RDM - 1RDM(GS)]                                          
   E [eV] char                  1240   1241   1242   1243   1244   1246   1247
0   0.000   3-                 0.000  0.000  0.000  0.000  0.000  0.000  0.000
1   0.056   3-                -0.091  0.458  0.088 -0.304 -0.151 -0.000  0.000
2   0.090   3-                -0.092  0.137  0.408 -0.303 -0.152 -0.001  0.003
3   1.373   3-                -0.032  0.264  0.240  0.005  0.000 -0.477  0.000
4   1.375   3-                -0.029  0.243  0.260  0.006  0.000 -0.480  0.000
5   1.553   3-                -0.115  0.508  0.463 -0.290 -0.142 -0.456  0.030
6   1.610   4-                -0.464  0.057  0.346  0.088 -0.016 -0.024  0.013
7   1.611   4-                -0.470  0.422  0.099 -0.024 -0.013 -0.014  0.001
8   1.837   3-                -0.165  0.078  0.069 -0.198 -0.127 -0.027  0.371
9   1.927   3-                -0.396  0.025  0.086  0.204 -0.035 -0.001  0.118
10  1.964   3-                -0.475  0.058  0.393 -0.008 -0.005  0.026  0.012
11  2.124   3-                -0.071  0.060  0.003 -0.163  0.171  0.001  0.000
12  2.132   4-                -0.499  0.328  0.269 -0.072 -0.161  0.049  0.086
13  2.189   3-                -0.450  0.688  0.092 -0.306 -0.024 -0.000  0.000
14  2.211   3-                -0.445  0.366  0.402 -0.304 -0.022 -0.005  0.009
15  2.325   3-                -0.494  0.162  0.410 -0.090 -0.162  0.058  0.118
16  2.343   3-                -0.494  0.142  0.576 -0.235 -0.162  0.106  0.067
17  2.443   3-                -0.491  0.300  0.385 -0.231 -0.160  0.113  0.083
18  2.660   3-                -0.553  0.518  0.487 -0.325 -0.145  0.002  0.015
19  2.714   3-                -0.444  0.359 -0.001 -0.035  0.120 -0.000 -0.000
20  2.963   4-                -0.482  0.401  0.464  0.093 -0.011 -0.482  0.017
21  3.211   3-                -0.037  0.016  0.039  0.011 -0.004 -0.492  0.467
22  3.253   3-                -0.108  0.131  0.400 -0.263 -0.127 -0.494  0.461
23  3.266   3-                -0.413  0.411  0.336  0.053 -0.038 -0.475  0.125
24  3.315   3-                -0.229  0.354  0.295 -0.188 -0.082 -0.472  0.321
25  3.368   4-                -0.432  0.153  0.228  0.094  0.161 -0.261  0.058
26  3.404   3-                -0.440  0.231  0.404  0.188 -0.011 -0.457  0.086
27  3.439   4-                -0.458  0.122  0.205  0.101  0.203 -0.206  0.033
28  3.519   4-                -0.485  0.061  0.033 -0.035 -0.016 -0.028  0.469
29  3.581   3-                -0.465  0.236  0.433  0.177  0.006 -0.441  0.053
30  3.675   4-                -0.449  0.567  0.439 -0.299  0.045 -0.332  0.029
31  3.711   4-                -0.443  0.443  0.104 -0.301  0.198 -0.009  0.008
32  3.730   4-                -0.448  0.318  0.411 -0.284  0.129 -0.145  0.018
33  3.745   3-                -0.122  0.376  0.229 -0.178  0.153 -0.484  0.026
34  3.746   3-                -0.120  0.296  0.302 -0.172  0.151 -0.485  0.027
35  3.856   4-                -0.487  0.398  0.413 -0.020 -0.150 -0.392  0.238
36  3.864   3-                -0.481  0.397  0.706 -0.302 -0.143 -0.270  0.092
37  3.892   3-                -0.018  0.012  0.020  0.152  0.313 -0.484  0.005
38  3.965   4-                -0.925  0.306  0.286  0.277 -0.025  0.020  0.062
39  3.998   3-                -0.449  0.311  0.037 -0.303 -0.027 -0.029  0.460
40  4.019   4-                -0.487  0.135  0.083 -0.007  0.024 -0.038  0.290
41  4.027   4-                -0.489  0.124  0.067  0.013  0.099 -0.026  0.212
42  4.062   3-                -0.475  0.396  0.382 -0.037  0.064 -0.393  0.063
43  4.066   3-                -0.453  0.709  0.107 -0.009  0.102 -0.460  0.005
44  4.073   3-                -0.484  0.123  0.400 -0.272 -0.121 -0.041  0.394
45  4.139   4-                -0.460 -0.002  0.042  0.108  0.168  0.036  0.107
46  4.168   3-                -0.914  0.193  0.405  0.223 -0.021  0.023  0.091
47  4.185   3-                -0.910  0.139  0.602  0.081 -0.020  0.052  0.056
48  4.217   3-                -0.456  0.013  0.307 -0.189  0.171  0.104  0.050
49  4.291   3-                -0.530  0.216  0.097 -0.031  0.219  0.011  0.018
-----------------------------------------------------

