# mode    phonon energy (meV)    IPR
000         -0.000001          139.355849
001         0.000000          139.355849
002         0.000001          139.355849
003         5.049360          72.250390
004         5.049361          72.250390
005         6.037956          76.788300
006         6.037957          76.788303
007         6.668039          35.027396
008         7.234247          54.409694
009         7.234247          54.409678
010         7.773603          60.308632
011         7.995289          62.824915
012         7.995290          62.824929
013         9.396765          49.995178
014         9.396766          49.995171
015         9.808653          47.385653
016         9.986040          49.639994
017         9.986040          49.640005
018         10.075555          48.555324
019         10.075556          48.555312
020         10.236040          60.016014
021         10.461440          68.833898
022         10.461441          68.833890
023         10.493968          56.468856
024         10.643538          47.868368
025         10.643538          47.868336
026         10.702547          58.390402
027         10.874326          48.386006
028         10.874326          48.385946
029         10.915812          58.415960
030         10.915813          58.415979
031         11.142405          58.100805
032         11.268307          1.825894
033         11.975546          33.957643
034         11.975546          33.957536
035         12.031151          56.524810
036         12.031151          56.524932
037         12.458299          53.054867
038         12.564396          8.048977
039         12.715080          46.000670
040         12.715080          46.000669
041         12.768414          64.959709
042         12.768414          64.959755
043         12.837148          33.932033
044         12.837148          33.932029
045         12.913849          11.606639
046         12.978880          58.141439
047         12.978880          58.141445
048         13.007612          62.966190
049         13.359107          64.833893
050         13.359108          64.834059
051         13.375196          51.799318
052         13.521036          32.596421
053         13.521036          32.596380
054         13.605834          37.338377
055         13.793985          48.733899
056         13.793986          48.733857
057         13.806295          65.820080
058         13.968083          50.144454
059         13.986286          54.721392
060         13.986286          54.721422
061         14.150431          48.614772
062         14.207892          54.125561
063         14.416614          50.228376
064         14.416614          50.228363
065         14.437845          50.795850
066         14.738998          32.881021
067         14.738998          32.880948
068         14.798388          25.999171
069         14.798388          25.999092
070         14.922041          55.986890
071         14.922041          55.986964
072         14.935585          72.578556
073         15.015464          63.510765
074         15.015464          63.509491
075         15.019982          48.463656
076         15.080062          50.917764
077         15.142038          54.215634
078         15.142038          54.215657
079         15.292768          55.156959
080         15.436136          56.379965
081         15.437941          56.236313
082         15.524816          70.605083
083         15.524816          70.604971
084         15.539945          55.875916
085         15.539945          55.876019
086         15.688438          76.401957
087         15.688438          76.401987
088         15.861512          61.939091
089         15.861512          61.939092
090         15.890720          47.324120
091         16.018647          61.372998
092         16.231135          48.448010
093         16.244776          72.501246
094         16.244776          72.501291
095         16.350922          71.211473
096         16.355623          61.109641
097         16.355623          61.109705
098         16.370032          51.715724
099         16.611254          56.763005
100         16.611254          56.762991
101         16.758794          57.663216
102         16.758794          57.663216
103         16.832445          58.783496
104         16.886286          70.571253
105         16.886286          70.571231
106         17.020223          48.375569
107         17.021246          70.053386
108         17.021247          70.052826
109         17.069690          58.035743
110         17.069690          58.035721
111         17.229594          45.331219
112         17.251385          65.647942
113         17.255020          50.628117
114         17.255020          50.627019
115         17.273996          66.631487
116         17.402409          40.813097
117         17.452530          54.122985
118         17.452530          54.122951
119         17.576220          57.147981
120         17.624612          57.000278
121         17.624612          57.000261
122         17.659043          31.473563
123         17.868666          63.358230
124         17.868666          63.358268
125         17.915947          38.826857
126         18.291971          49.525579
127         18.291971          49.525569
128         18.431543          32.037040
129         18.625330          45.123045
130         18.641160          60.249089
131         18.641160          60.249024
132         18.903052          66.613814
133         18.910332          57.868113
134         18.910332          57.867909
135         18.998773          68.969330
136         18.998773          68.969337
137         19.050744          55.236332
138         19.197593          62.792671
139         19.215184          62.996865
140         19.215184          62.996936
141         19.260792          52.900947
142         19.290714          62.715363
143         19.290714          62.715389
144         19.381669          63.936070
145         19.381669          63.936136
146         19.452966          68.690481
147         19.474451          58.812369
148         19.474451          58.812471
149         19.482430          73.941762
150         19.604213          53.914645
151         19.621103          59.916581
152         19.621103          59.916519
153         19.634058          50.355938
154         19.681384          54.141050
155         19.804238          52.052684
156         19.804238          52.052622
157         19.878238          39.569411
158         19.878238          39.569404
159         19.892110          58.067757
160         19.892110          58.067702
161         19.898332          55.089258
162         20.023542          79.968244
163         20.044853          45.923294
164         20.044853          45.923314
165         20.093673          58.267416
166         20.093673          58.267401
167         20.176340          59.527224
168         20.273891          54.205300
169         20.273891          54.205265
170         20.334697          52.726467
171         20.338939          28.591064
172         20.407439          51.373340
173         20.407439          51.373332
174         20.424491          34.544514
175         20.430950          46.776200
176         20.430950          46.776211
177         20.777503          60.461844
178         20.829609          46.850724
179         20.829609          46.850744
180         20.904171          41.148107
181         20.939813          57.479587
182         20.939813          57.479585
183         21.124874          49.165487
184         21.124874          49.165529
185         21.255455          44.984026
186         21.288383          57.240664
187         21.367059          55.755110
188         21.400626          59.243420
189         21.400627          59.243442
190         21.745163          67.593069
191         21.745164          67.592979
192         21.797733          67.865481
193         22.187226          46.175840
194         22.187226          46.175850
195         23.039958          60.634584
196         23.041330          53.387708
197         23.123135          73.359349
198         23.123135          73.359355
199         23.565354          57.904565
200         23.565354          57.904552
201         23.981663          64.081268
202         23.981663          64.081222
203         24.007243          37.472324
