# mode    phonon energy (meV)    IPR
000         -0.000000          139.430053
001         0.000000          139.430053
002         0.000000          139.430053
003         4.218230          73.033551
004         4.218230          73.033551
005         5.158278          75.142471
006         5.158278          75.142471
007         6.734308          61.050696
008         6.820193          75.856969
009         6.820193          75.856969
010         7.060084          63.854637
011         7.060084          63.854637
012         7.449476          79.899910
013         9.277051          54.621416
014         9.277051          54.621416
015         9.346745          49.908947
016         9.396424          57.713655
017         9.396424          57.713655
018         9.559968          2.542382
019         9.569156          64.801116
020         9.569156          64.801116
021         9.684105          55.133475
022         9.934968          48.779224
023         9.934968          48.779224
024         9.990298          71.484320
025         10.206529          63.415236
026         10.206529          63.415236
027         10.398241          79.929722
028         10.398241          79.929722
029         10.431622          62.685699
030         10.557146          56.477870
031         10.719972          61.234296
032         10.719972          61.234296
033         11.499339          75.960949
034         11.499339          75.960949
035         12.086754          51.374991
036         12.097719          21.854604
037         12.097719          21.854604
038         12.155612          57.854244
039         12.155612          57.854244
040         12.244109          55.167102
041         12.491350          33.247447
042         12.491350          33.247447
043         12.711995          60.988709
044         12.711995          60.988709
045         12.793353          47.508347
046         12.793353          47.508347
047         12.896749          17.426146
048         13.124314          52.834613
049         13.124314          52.834613
050         13.238981          59.854177
051         13.311004          57.722475
052         13.311004          57.722475
053         13.317295          52.888508
054         13.355345          50.842489
055         13.355345          50.842489
056         13.513946          38.112030
057         13.551158          52.956108
058         13.642090          62.892586
059         13.642090          62.892586
060         13.905262          48.190132
061         14.222043          39.812275
062         14.222043          39.812275
063         14.283244          46.884507
064         14.288655          39.835369
065         14.322161          56.336569
066         14.322161          56.336569
067         14.412911          68.069416
068         14.412911          68.069416
069         14.445565          63.983177
070         14.575859          47.298122
071         14.698947          52.691227
072         14.754293          65.083106
073         14.754293          65.083106
074         14.788918          55.463137
075         14.839151          60.297249
076         14.839151          60.297249
077         14.935749          73.990293
078         14.935749          73.990293
079         15.114463          33.850704
080         15.208290          39.389846
081         15.260776          49.572701
082         15.260776          49.572701
083         15.305149          30.288174
084         15.340144          57.666045
085         15.396811          54.068529
086         15.396811          54.068529
087         15.439545          56.051665
088         15.439545          56.051665
089         15.519611          41.707789
090         15.713515          64.046934
091         15.713515          64.046934
092         15.838440          48.905943
093         15.892213          68.608960
094         15.892213          68.608960
095         16.171840          61.963223
096         16.171840          61.963223
097         16.195099          51.026070
098         16.233961          47.250625
099         16.233961          47.250625
100         16.283794          41.503064
101         16.422829          54.318453
102         16.447782          65.641323
103         16.447782          65.641323
104         16.590234          54.064018
105         16.590234          54.064018
106         16.721733          46.612531
107         16.831595          51.420427
108         16.831595          51.420427
109         16.886800          49.781119
110         16.949166          58.668422
111         16.949166          58.668422
112         16.992826          33.016390
113         17.030407          64.697030
114         17.077898          57.979992
115         17.077898          57.979992
116         17.249378          25.508483
117         17.266234          72.926087
118         17.266234          72.926087
119         17.305347          67.091567
120         17.305347          67.091567
121         17.346494          67.374328
122         17.610070          75.935642
123         17.742563          53.612207
124         17.742563          53.612207
125         18.391643          60.872075
126         18.391643          60.872075
127         18.402054          59.797587
128         18.502445          66.300725
129         18.545962          35.757394
130         18.598216          49.753799
131         18.615343          50.697008
132         18.615343          50.697008
133         18.746194          62.080799
134         18.746194          62.080799
135         18.948486          62.222329
136         18.948486          62.222329
137         19.004157          23.825996
138         19.006955          66.749146
139         19.006955          66.749146
140         19.032369          60.189733
141         19.032369          60.189733
142         19.057341          38.393254
143         19.145138          45.615480
144         19.145621          47.465822
145         19.145621          47.465822
146         19.263795          55.739257
147         19.263795          55.739257
148         19.298535          64.943260
149         19.348727          62.459018
150         19.384317          51.828173
151         19.384317          51.828173
152         19.401032          55.004411
153         19.463830          58.645949
154         19.593934          60.678973
155         19.593934          60.678973
156         19.745712          53.347808
157         19.766760          55.409603
158         19.766760          55.409603
159         19.782290          63.651527
160         19.800593          49.501418
161         19.800593          49.501418
162         19.895770          64.778291
163         19.895770          64.778291
164         19.923109          49.101990
165         19.945737          50.564780
166         19.945737          50.564780
167         19.948646          49.525102
168         20.082021          62.547501
169         20.137402          44.254657
170         20.137402          44.254657
171         20.140783          75.127763
172         20.188005          56.221616
173         20.188005          56.221616
174         20.304881          34.737808
175         20.365715          35.472689
176         20.365715          35.472689
177         20.541631          47.069227
178         20.541631          47.069227
179         20.594511          31.424811
180         20.702660          63.635719
181         20.774142          55.106367
182         20.774142          55.106367
183         20.882245          50.103707
184         20.889074          47.943840
185         20.889074          47.943840
186         21.041655          68.710810
187         21.223869          33.584496
188         21.397790          58.711637
189         21.397790          58.711637
190         21.475326          58.142506
191         21.475326          58.142506
192         21.946702          64.045441
193         22.917490          59.567013
194         22.917490          59.567013
195         22.992465          51.118041
196         23.082441          60.398934
197         23.213819          57.465368
198         23.213819          57.465368
199         23.702216          71.634210
200         23.702216          71.634210
201         23.890212          58.202140
202         24.192659          62.833200
203         24.221596          55.252619
204         24.221596          55.252619
205         24.586076          72.288171
206         24.586076          72.288171
207         24.760861          82.919629
208         24.760861          82.919629
209         24.867326          57.722376
210         24.881662          86.926171
211         24.881662          86.926171
212         24.960257          63.557051
213         25.343081          60.336125
214         25.825763          45.393057
215         25.825763          45.393057
216         26.353744          74.412401
217         26.452666          75.011160
218         26.452666          75.011160
219         26.503774          58.291916
220         27.499728          51.422069
221         27.499728          51.422069
222         28.052825          69.067069
223         28.551141          63.199494
224         28.551141          63.199494
225         28.834326          59.699465
226         28.912775          43.596850
227         28.912775          43.596850
228         28.978203          25.743042
229         29.076893          50.872959
230         29.076893          50.872959
231         29.264694          43.640550
232         29.264694          43.640550
233         29.347938          34.165389
234         29.515389          47.757568
235         29.515389          47.757568
236         29.578581          62.629668
237         29.700141          57.845276
238         29.712901          52.435003
239         29.730202          56.902845
240         29.730202          56.902845
241         29.832642          34.810262
242         29.834336          46.652781
243         29.834336          46.652781
244         29.880213          56.722635
245         29.880213          56.722635
246         29.950507          46.840558
247         30.076494          45.923367
248         30.076494          45.923367
249         30.136188          45.239147
250         30.143974          38.346601
251         30.194912          45.513360
252         30.194912          45.513360
253         30.453027          34.395084
254         30.789333          55.410595
255         30.793616          55.793851
256         30.793616          55.793851
257         30.878580          49.000751
258         30.878580          49.000751
259         30.929253          53.049793
260         31.266205          54.574009
261         31.266205          54.574010
262         31.267386          51.688218
263         31.322507          41.420172
264         31.322507          41.420172
265         31.349477          39.398580
266         31.380019          50.373997
267         31.380019          50.373997
268         31.474356          59.275248
269         31.474356          59.275248
270         31.483134          63.610955
271         31.562908          38.044229
272         31.725083          48.186608
273         31.727504          38.081279
274         31.727504          38.081280
275         31.800407          42.055340
276         31.800407          42.055340
277         31.855349          48.373895
278         31.856918          35.932258
279         31.856918          35.932258
280         32.146546          20.736903
281         32.809414          41.970390
282         32.811207          55.476319
283         32.811207          55.476320
284         33.011917          51.497149
285         33.011917          51.497149
286         33.070684          55.210378
287         33.864676          77.653737
288         40.822298          3.673842
289         44.795607          5.225737
290         44.795607          5.225737
291         45.769473          6.253212
292         46.015066          10.190046
293         46.015066          10.190046
294         46.472755          114.992611
295         47.468204          73.213760
296         47.468204          73.213760
297         47.660689          78.319638
298         47.660689          78.319638
299         47.841158          51.088514
300         48.101332          52.099464
301         48.101332          52.099464
302         48.755546          48.076512
303         48.816465          78.722654
304         48.816465          78.722654
305         49.207999          20.825549
306         49.255530          27.866802
307         49.339612          53.826784
308         49.339612          53.826784
309         49.672155          22.912724
310         49.810054          65.771746
311         49.810054          65.771746
312         49.894327          42.903017
313         49.894327          42.903017
314         50.363767          46.839768
315         50.363767          46.839768
316         50.515656          29.025701
317         50.561711          70.262301
318         50.561711          70.262301
319         50.649394          40.291875
320         50.742050          54.763125
321         50.742050          54.763125
322         50.808755          64.831541
323         50.926979          41.779846
324         50.926979          41.779846
325         50.950977          65.526337
326         50.992181          60.390301
327         50.992181          60.390301
328         51.068583          40.715254
329         51.104623          55.398624
