,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.6492805,6.0425037e-12,1.6442489e-10,3.7040189270174226e-09,32752476637991.664,32752476.637991663
1,2,15406.221298466704,2.84361839,0.000132604269,0.00360834552,0.08128563035539549,1206906.0124432407,1.2069060124432407
2,3,15406.221298466704,2.84362364,2.93743615e-05,0.000799317029,0.01800630936561146,5448288.743695031,5.448288743695031
3,4,15406.221298466704,3.1193008,6.7922842e-12,1.8482745e-10,4.163629926197876e-09,17850783393805.637,17850783.393805638
4,5,15406.221298466704,3.26045632,0.00172649801,0.0469803996,1.058333039415088,61495.545446294265,0.061495545446294264
5,6,15406.221298466704,3.26045752,0.00114605215,0.0311856661,0.7025231701470056,92641.35110108503,0.09264135110108504
6,7,15406.221298466704,3.36994386,0.00122164621,0.0332426839,0.7488618805411904,78710.27852064144,0.07871027852064144
7,8,15406.221298466704,3.36994863,0.00245451531,0.0667907596,1.504603326083861,39175.027647442104,0.0391750276474421
8,9,15406.221298466704,3.4039611999999995,2.7902995e-12,7.592791e-11,1.7104370428515006e-09,33437998540287.383,33437998.540287383
9,10,15406.221298466704,3.4996621599999997,2.14566921e-06,5.83866313e-05,0.0013152824987030657,40013244.21454256,40.01324421454256
10,11,15406.221298466704,3.49966574,2.73899877e-06,7.45319485e-05,0.0016789899996515418,31345367.353228185,31.345367353228184
11,12,15406.221298466704,3.5068127999999996,1.0620051e-11,2.8898628e-10,6.5100282702169145e-09,8034901324335.211,8034901.324335211
12,13,15406.221298466704,3.5880331999999995,0.000401929428,0.0109370556,0.24638035532146824,198210.0793676137,0.1982100793676137
13,14,15406.221298466704,3.5880348699999995,4.30333566e-05,0.00117099716,0.026379192343645587,1851269.7795279673,1.8512697795279673
14,15,15406.221298466704,3.6103363,2.82053752e-05,0.000767507299,0.017289727697548257,2772490.3548320387,2.7724903548320388
15,16,15406.221298466704,3.61034989,6.00368412e-06,0.000163368546,0.003680222754735581,13025043.63493669,13.02504363493669
16,17,15406.221298466704,3.69529152,0.000139936106,0.00380785484,0.08578000294763846,521157.5075195108,0.5211575075195108
17,18,15406.221298466704,3.69531298,0.000380648766,0.0103579797,0.23333543574161586,191587.3323822266,0.19158733238222658
18,19,15406.221298466704,3.6978535999999997,5.0057639e-11,1.3621375e-09,3.068503579034722e-08,1453869405455.9482,1453869.4054559483
19,20,15406.221298466704,3.7079455899999996,1.77461857e-07,4.82898258e-06,0.00010878306572682102,406761480.36573505,406.76148036573505
20,21,15406.221298466704,3.7079772900000005,5.43095439e-07,1.47783803e-05,0.00033291428273893086,132909965.99331526,132.90996599331527
21,22,15406.221298466704,3.7257568999999995,9.7900386e-12,2.6640049e-10,6.001235592231603e-09,7268034024831.795,7268034.024831795
22,23,15406.221298466704,3.7670972300000005,2.33166338e-05,0.000634477939,0.014292958216895121,2952286.892470181,2.952286892470181
23,24,15406.221298466704,3.76711178,0.000114627393,0.00311916997,0.07026591199715185,600524.8214952279,0.6005248214952279
24,25,15406.221298466704,3.7793927,1.3999715e-11,3.8095163e-10,8.581742255755627e-09,4869222777749.478,4869222.777749478
25,26,15406.221298466704,3.8087795000000004,3.071473e-12,8.3579026e-11,1.882794730572194e-09,21684065192089.254,21684065.192089252
26,27,15406.221298466704,3.80984759,1.10898675e-07,3.01770638e-06,6.798022998002531e-05,600061460.4380668,600.0614604380669
27,28,15406.221298466704,3.80988336,1.24813994e-07,3.39636131e-06,7.651023798837542e-05,533146520.0056426,533.1465200056426
28,29,15406.221298466704,3.81879616,7.01887814e-07,1.90993378e-05,0.0004302530667376975,94145109.57576008,94.14510957576009
29,30,15406.221298466704,3.8188090299999997,1.31528466e-07,3.57907152e-06,8.062616949751601e-05,502390388.00578874,502.39038800578874
30,31,15406.221298466704,3.8366965999999993,4.7651043e-13,1.2966508e-11,2.920980671706019e-10,136741429734496.19,136741429.73449618
31,32,15406.221298466704,3.87715459,4.93224761e-05,0.0013421328,0.03023438529326254,1280149.4544874222,1.2801494544874223
32,33,15406.221298466704,3.87715912,7.41621188e-05,0.00201805378,0.04546093893213746,851376.964143226,0.8513769641432261
33,34,15406.221298466704,3.8833799399999998,2.0294361e-07,5.52237634e-06,0.0001244032291709217,309627744.4610397,309.6277444610397
34,35,15406.221298466704,3.8833909,3.12801347e-07,8.5117581e-06,0.0001917453703312659,200882895.13916972,200.88289513916973
35,36,15406.221298466704,3.8904575999999995,4.2257382e-11,1.1498819e-09,2.5903524516535314e-08,1478904914588.0664,1478904.9145880665
36,37,15406.221298466704,3.9116368300000004,2.17541528e-05,0.000591960619,0.013335166631743901,2826357.8306628703,2.8263578306628703
37,38,15406.221298466704,3.91173768,3.52381585e-06,9.58879027e-05,0.0021600782145526844,17447070.831498567,17.447070831498568
38,39,15406.221298466704,3.9206371300000002,1.74510806e-08,4.74868045e-07,1.0697408896796631e-05,3499069987.29002,3499.06998729002
39,40,15406.221298466704,3.92065954,1.05670628e-09,2.87544424e-08,6.477546817916175e-07,57784747244.49197,57784.74724449197
40,41,15406.221298466704,3.9250848,1.1117094e-11,3.0251149e-10,6.814712681008674e-09,5474021382223.7705,5474021.382223771
41,42,15406.221298466704,3.93053675,2.79528604e-06,7.60635958e-05,0.0017134937622938617,21680188.800062947,21.680188800062947
42,43,15406.221298466704,3.9305408,2.77824506e-06,7.55998917e-05,0.0017030477426323554,21813101.600549992,21.81310160054999
43,44,15406.221298466704,3.95101213,2.32852881e-06,6.3362495e-05,0.0014273743488721995,25623484.853473794,25.623484853473794
44,45,15406.221298466704,3.95102477,3.4740965e-06,9.45349748e-05,0.002129600547912777,17174091.180279084,17.174091180279085
45,46,15406.221298466704,3.9904044,9.7754508e-13,2.6600354e-11,5.992293357359071e-10,59245773365547.74,59245773.36554774
46,47,15406.221298466704,3.9918529999999994,4.8847654e-10,1.3292122e-08,2.994332216236762e-07,118434319326.21413,118434.31932621413
47,48,15406.221298466704,3.9918571,1.0744137e-12,2.9236284e-11,6.586092252201383e-10,53845374703368.45,53845374.703368455
48,49,15406.221298466704,4.0044808,1.1720747e-12,3.1893772e-11,7.184748389443712e-10,48893481256670.51,48893481.256670505
49,50,15406.221298466704,4.0137782,3.6009878e-10,9.7987867e-09,2.207384162157622e-07,158038587567.77673,158038.58756777673
50,51,15406.221298466704,4.0137844,4.531699e-11,1.2331379e-09,2.7779046072484697e-08,1255803592782.901,1255803.592782901
51,52,15406.221298466704,4.04156923,7.7001996e-06,0.0002095331,0.004720176681101906,7239237.9020169005,7.2392379020169
52,53,15406.221298466704,4.04157257,2.14998022e-06,5.85039343e-05,0.0013179251222623302,25927419.274683233,25.927419274683235
53,54,15406.221298466704,4.0422459,3.5561469e-12,9.6767677e-11,2.1798969564312115e-09,15667403149280.406,15667403.149280407
54,55,15406.221298466704,4.05864,3.8991219e-12,1.061005e-10,2.390138597076595e-09,14116807495610.162,14116807.495610163
55,56,15406.221298466704,4.06234789,1.93040406e-09,5.25289678e-08,1.1833262385973014e-06,28435792665.70288,28435.79266570288
56,57,15406.221298466704,4.06246138,4.05814535e-06,0.000110427754,0.0024876190286797412,13525382.785883168,13.525382785883167
57,58,15406.221298466704,4.06246614,1.84269959e-06,5.01424074e-05,0.0011295639187059569,29786611.241762813,29.786611241762813
58,59,15406.221298466704,4.06805849,2.08132917e-07,5.66358494e-06,0.00012758424358157137,262628929.02444336,262.6289290244434
59,60,15406.221298466704,4.06806231,6.90064006e-09,1.87775967e-07,4.230051425665597e-06,7921232034.365952,7921.232034365951
60,61,15406.221298466704,4.08441496,5.79481307e-09,1.5768488e-07,3.5521860400032423e-06,9319999596.432886,9319.999596432886
61,62,15406.221298466704,4.0844188,5.2303023e-10,1.4232377e-08,3.206144286386247e-07,103258855891.98148,103258.85589198148
62,63,15406.221298466704,4.0993123,9.1337242e-12,2.485413e-10,5.598918757957412e-09,5848762530053.918,5848762.530053918
63,64,15406.221298466704,4.1151938,7.8638984e-11,2.1398756e-09,4.820523074523235e-08,671484709208.1173,671484.7092081173
64,65,15406.221298466704,4.1182189,6.9222922e-12,1.8836516e-10,4.243324059056028e-09,7611437566998.74,7611437.566998741
65,66,15406.221298466704,4.1201334,1.0781359e-11,2.9337571e-10,6.608909117419263e-09,4880199304014.361,4880199.304014361
66,67,15406.221298466704,4.1233087,1.7755621e-12,4.8315504e-11,1.0884090355616665e-09,29564564211845.53,29564564.211845532
67,68,15406.221298466704,4.12506294,8.90491414e-09,2.42315053e-07,5.458659548363217e-06,5887398388.264885,5887.398388264885
68,69,15406.221298466704,4.12507677,2.27388641e-09,6.18756033e-08,1.3938788817833406e-06,23055791009.80597,23055.79100980597
69,70,15406.221298466704,4.14634848,1.43379693e-05,0.000390155998,0.00878909013530182,3600475.452112007,3.600475452112007
70,71,15406.221298466704,4.14635944,1.68510337e-06,4.58539944e-05,0.0010329583706272026,30634973.528246682,30.634973528246682
71,72,15406.221298466704,4.15270853,1.49552932e-06,4.06954205e-05,0.000916750602434798,34360194.81233903,34.36019481233903
72,73,15406.221298466704,4.15272093,6.71178224e-09,1.82636882e-07,4.114282702214878e-06,7656121224.693922,7656.121224693922
73,74,15406.221298466704,4.1530743,1.4647672e-11,3.9858344e-10,8.978936053401695e-09,3507253765611.2983,3507253.7656112984
74,75,15406.221298466704,4.16125822,0.000155334565,0.00422686804,0.09521916697875056,328778.0349693305,0.3287780349693305
75,76,15406.221298466704,4.16183567,2.53933576e-05,0.000690988381,0.015565977588217563,2010342.186160431,2.010342186160431
76,77,15406.221298466704,4.16667843,1.93408305e-05,0.000526290736,0.011855814376453892,2630266.9450992057,2.6302669450992058
77,78,15406.221298466704,4.1695514,7.7109569e-11,2.0982582e-09,4.7267708421950306e-08,658367869367.1715,658367.8693671715
78,79,15406.221298466704,4.1776857,4.3517878e-10,1.1841816e-08,2.6676201087909153e-07,115976473261.85767,115976.47326185767
79,80,15406.221298466704,4.17769003,1.03809484e-07,2.82479959e-06,6.363459794652874e-05,486182391.6908086,486.1823916908086
80,81,15406.221298466704,4.19602776,3.57820818e-06,9.73679998e-05,0.0021934203902148315,13920801.371353202,13.920801371353202
81,82,15406.221298466704,4.19602966,4.1034059e-06,0.000111659348,0.0025153634773669997,12139052.01867569,12.13905201867569
82,83,15406.221298466704,4.21472359,0.000152127061,0.00413958775,0.09325298605204561,323095.66429510264,0.32309566429510267
83,84,15406.221298466704,4.21472549,2.51631587e-08,6.84724398e-07,1.542486702794127e-05,1953313093.3363268,1953.3130933363268
84,85,15406.221298466704,4.2293949,6.5533794e-11,1.7832653e-09,4.017182700860585e-08,742240889718.7675,742240.8897187675
85,86,15406.221298466704,4.2303576,4.3116302e-11,1.1732543e-09,2.643003738185533e-08,1127384740045.8513,1127384.7400458513
86,87,15406.221298466704,4.2347178,2.9115686e-11,7.9227808e-10,1.7847742818443986e-08,1664349189637.3494,1664349.1896373495
87,88,15406.221298466704,4.25766897,5.19706418e-06,0.00014141931,0.003185769515978001,9174262.069034213,9.174262069034214
