,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.6492805,1.7455528e-11,4.749891e-10,1.0700135126616899e-08,11337781433436.34,11337781.43343634
1,2,15406.221298466704,2.84361839,2.93175472e-05,0.000797770976,0.017971482536705215,5458877.18505117,5.45887718505117
2,3,15406.221298466704,2.84362364,0.000132599249,0.00360820908,0.0812825531251716,1206945.0190753245,1.2069450190753246
3,4,15406.221298466704,3.1193008,2.4754303e-11,6.7359884e-10,1.5174240908966952e-08,4898041120502.096,4898041.120502096
4,5,15406.221298466704,3.26045632,0.0011462447,0.0311909057,0.7026412021548961,92625.8911704382,0.09262589117043821
5,6,15406.221298466704,3.26045752,0.00172723841,0.0470005497,1.058786900223409,61469.116824644596,0.06146911682464459
6,7,15406.221298466704,3.36994386,0.00245495932,0.066802837,1.5048755015802175,39168.10867676049,0.03916810867676049
7,8,15406.221298466704,3.36994863,0.00122242491,0.0332638733,0.749339219022335,78659.8050675521,0.07865980506755209
8,9,15406.221298466704,3.4039611999999995,2.5374592e-12,6.9047774e-11,1.5554474386725633e-09,36769864361943.086,36769864.36194309
9,10,15406.221298466704,3.4996621599999997,2.74224385e-06,7.46202495e-05,0.0016809792144433647,31308370.37098455,31.30837037098455
10,11,15406.221298466704,3.49966574,2.1441831e-06,5.83461915e-05,0.0013143715220879204,40040854.07896843,40.04085407896843
11,12,15406.221298466704,3.5068127999999996,5.2452868e-12,1.4273151e-10,3.215329696005755e-09,16268140351144.857,16268140.351144858
12,13,15406.221298466704,3.5880331999999995,4.29740176e-05,0.00116938248,0.02634281788861459,1853828.62188011,1.8538286218801099
13,14,15406.221298466704,3.5880348699999995,0.000402029458,0.0109397788,0.24644167311814072,198160.48550658795,0.19816048550658796
14,15,15406.221298466704,3.6103363,5.97391318e-06,0.000162558441,0.003661973345101773,13090101.636933865,13.090101636933865
15,16,15406.221298466704,3.61034989,2.8276907e-05,0.000769453763,0.017333576266657717,2765445.5854516374,2.7654455854516375
16,17,15406.221298466704,3.69529152,0.000380491139,0.01035369,0.23323881132557964,191670.0410070419,0.1916700410070419
17,18,15406.221298466704,3.69531298,0.000140174918,0.00381435337,0.0859263932871262,520260.56225355814,0.5202605622535581
18,19,15406.221298466704,3.6978535999999997,1.3063373e-10,3.5547245e-09,8.00777016366384e-08,557109330426.8239,557109.3304268238
19,20,15406.221298466704,3.7079455899999996,5.4353751e-07,1.47904075e-05,0.0003331852696397888,132805273.47923489,132.8052734792349
20,21,15406.221298466704,3.7079772900000005,1.79963251e-07,4.89704917e-06,0.00011031640541181415,401097423.65464723,401.09742365464723
21,22,15406.221298466704,3.7257568999999995,7.8335394e-11,2.1316147e-09,4.8019131875975024e-08,908329300663.4604,908329.3006634604
22,23,15406.221298466704,3.7670972300000005,0.000114571703,0.00311765471,0.07023177435747682,600823.6810817693,0.6008236810817693
23,24,15406.221298466704,3.76711178,2.33124556e-05,0.000634364202,0.014290397005078094,2952781.8047528346,2.9527818047528345
24,25,15406.221298466704,3.7793927,1.4643439e-12,3.9846824e-11,8.976341249509716e-10,46551722693010.19,46551722.69301019
25,26,15406.221298466704,3.8087795000000004,9.9617432e-11,2.7107283e-09,6.106489493566568e-08,668577973057.3856,668577.9730573857
26,27,15406.221298466704,3.80984759,1.27655369e-07,3.47367927e-06,7.825198400977283e-05,521294336.48142546,521.2943364814255
27,28,15406.221298466704,3.80988336,1.13399167e-07,3.0857484e-06,6.951301674436865e-05,586813363.0038495,586.8133630038495
28,29,15406.221298466704,3.81879616,1.28429122e-07,3.49473385e-06,7.872629000926052e-05,514519636.4335551,514.5196364335551
29,30,15406.221298466704,3.8188090299999997,7.02375132e-07,1.91126001e-05,0.0004305517897811731,94078839.15164897,94.07883915164896
30,31,15406.221298466704,3.8366965999999993,1.2964944e-11,3.527941e-10,7.947433770494998e-09,5025761583050.383,5025761.583050383
