,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.64928055,3.58217621e-05,0.000974759751,0.021958527690684803,5524768.70097648,5.524768700976479
1,2,15406.221298466704,2.8436184,3.831345e-12,1.042562e-10,2.3485917593949617e-09,41771463505197.08,41771463.50519708
2,3,15406.221298466704,2.8436236,1.503082e-11,4.0900941e-10,9.213803504761117e-09,10647457016138.535,10647457.016138535
3,4,15406.221298466704,3.11930084,0.000423337537,0.0115196006,0.25950339915636933,286408.7843430576,0.2864087843430576
4,5,15406.221298466704,3.2604563,1.7675609e-11,4.8097781e-10,1.0835043474207471e-08,6006691978234.122,6006691.9782341225
5,6,15406.221298466704,3.2604575,2.35146e-13,6.3986481e-12,1.4414310323259525e-10,451514469997838.94,451514469.9978389
6,7,15406.221298466704,3.3699439,1.4435873e-11,3.9282005e-10,8.849104522686478e-09,6660914100503.136,6660914.1005031355
7,8,15406.221298466704,3.3699486,1.5905932e-12,4.3282242e-11,9.750241970038361e-10,60452734048099.58,60452734.04809958
8,9,15406.221298466704,3.4039611799999996,0.00332526001,0.0904849246,2.038364662365725,28058.567441935164,0.028058567441935165
9,10,15406.221298466704,3.4996622,2.9810382e-10,8.111817e-09,1.827358734585789e-07,288004303867.908,288004.303867908
10,11,15406.221298466704,3.49966574,3.37309936e-09,9.17867027e-08,2.067689900156843e-06,25452829419.67359,25452.82941967359
11,12,15406.221298466704,3.5068128099999996,0.00472830655,0.128663763,2.8984238692217024,18046.854663942915,0.018046854663942916
12,13,15406.221298466704,3.5880331999999995,3.8477108e-12,1.0470153e-10,2.3586238977212955e-09,20704899085466.504,20704899.085466504
13,14,15406.221298466704,3.5880348999999994,4.0702552e-14,1.1075728e-12,2.4950422949002222e-11,1957281464487287.5,1957281464.4872875
14,15,15406.221298466704,3.6103363,1.2999498e-14,3.5373435e-13,7.968615167538108e-12,6015550038656783.0,6015550038.656783
15,16,15406.221298466704,3.6103499,1.5138565e-13,4.1194127e-12,9.279850550672153e-11,516549930482793.56,516549930.48279357
16,17,15406.221298466704,3.6952915,1.0905076e-12,2.9674221e-11,6.684746904592454e-10,66875969868601.9,66875969.868601896
17,18,15406.221298466704,3.695313,8.1999712e-13,2.2313257e-11,5.026533707508986e-10,88936264152267.56,88936264.15226756
18,19,15406.221298466704,3.6978535999999997,6.2411448e-14,1.6983019e-12,3.8257847430786626e-11,1166088469081160.8,1166088469.0811608
19,20,15406.221298466704,3.7079455999999995,3.5017535e-14,9.5287558e-13,2.1465541248654107e-11,2061385733683013.8,2061385733.6830137
20,21,15406.221298466704,3.7079773000000005,3.8301207e-14,1.0422288e-12,2.347841270756892e-11,1884608903959810.5,1884608903.9598105
21,22,15406.221298466704,3.7257568999999995,4.6090956e-14,1.2541987e-12,2.8253482639708977e-11,1543780815681424.2,1543780815.6814241
22,23,15406.221298466704,3.7670972,1.0415179e-11,2.8341143e-10,6.384442949414229e-09,6609333741538.814,6609333.741538814
23,24,15406.221298466704,3.7671118,3.19177e-12,8.6852477e-11,1.9565360780310982e-09,21566902885673.4,21566902.8856734
24,25,15406.221298466704,3.77939272,5.60893227e-07,1.52626817e-05,0.0003438242212154342,121534236.45780566,121.53423645780566
25,26,15406.221298466704,3.8087795000000004,2.8088737e-15,7.6433346e-14,1.7218229172787198e-12,2.3711290674173764e+16,23711290674.173763
26,27,15406.221298466704,3.8098476,3.3868672e-10,9.2161336e-09,2.0761295044129643e-07,196482520357.28226,196482.52035728225
27,28,15406.221298466704,3.8098834,4.4994308e-12,1.2243574e-10,2.7581243920471482e-09,14789458358413.336,14789458.358413337
28,29,15406.221298466704,3.8187962,1.7479914e-13,4.7565268e-12,1.0715083599971454e-10,378029909543471.9,378029909.5434719
29,30,15406.221298466704,3.818809,2.4430097e-13,6.647767e-12,1.4975504553993331e-10,270480459512126.75,270480459.51212674
30,31,15406.221298466704,3.8366965999999993,7.5405245e-14,2.051881e-12,4.622296791914018e-11,864113862127224.4,864113862.1272243
31,32,15406.221298466704,3.8771546,1.358209e-11,3.6958747e-10,8.32574060789637e-09,4648779413538.614,4648779.413538614
32,33,15406.221298466704,3.8771591,1.3806345e-12,3.7568979e-11,8.463207592728881e-10,45732538579529.34,45732538.579529345
33,34,15406.221298466704,3.8833799,1.760281e-11,4.7899679e-10,1.07904181190144e-08,3569712685576.9614,3569712.6855769614
34,35,15406.221298466704,3.8833909,2.670625e-12,7.2671397e-11,1.6370772842002403e-09,23528739597956.3,23528739.5979563
