,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,1.52077723,0.000202182346,0.00550166145,0.12393657885435556,5174934.574722795,5.174934574722795
1,2,15406.221298466704,1.52161133,6.20406645e-05,0.00168821239,0.038030559344587225,16836711.034890402,16.836711034890403
2,3,15406.221298466704,2.6398125,2.0250447e-11,5.5104271e-10,1.2413403895567857e-08,9878500862360.691,9878500.862360692
3,4,15406.221298466704,2.9381299,1.54738601e-07,4.21065124e-06,9.485384458170826e-05,937633800.3885528,937.6338003885528
4,5,15406.221298466704,2.93892193,4.82857025e-08,1.31392073e-06,2.959884922608032e-05,3002356065.3395514,3002.3560653395516
5,6,15406.221298466704,3.08198833,1.37547873e-09,3.74286806e-08,8.431603028443139e-07,91389868081.60306,91389.86808160305
6,7,15406.221298466704,3.09001923,8.24936506e-05,0.00224476634,0.050568118507095354,1511961.8383446466,1.5119618383446467
7,8,15406.221298466704,3.09079814,2.46222062e-05,0.000670004287,0.015093266354098505,5061811.970268644,5.061811970268645
8,9,15406.221298466704,3.39884496,0.000496249355,0.0135036316,0.30419791111426014,188864.73797101062,0.1888647379710106
9,10,15406.221298466704,3.39885712,0.00106476818,0.028973816,0.6526965786724953,88021.97532084696,0.08802197532084696
10,11,15406.221298466704,3.4227147100000006,0.00171104108,0.0465597957,1.0488580330077963,53637.97315560875,0.05363797315560875
11,12,15406.221298466704,3.4227237700000006,0.00362193515,0.0985578671,2.220224763458513,25338.953602110163,0.025338953602110165
12,13,15406.221298466704,3.5217783,7.1376095e-12,1.9422423e-10,4.375312286802466e-09,11803371484600.326,11803371.484600326
13,14,15406.221298466704,3.5446146000000005,4.7863283e-11,1.3024263e-09,2.9339908578159617e-08,1726375838350.6155,1726375.8383506155
14,15,15406.221298466704,3.6158073000000006,2.180339e-10,5.9330039e-09,1.3365348743293678e-07,357030274937.5083,357030.2749375083
15,16,15406.221298466704,3.6241672000000005,2.7410113e-05,0.000745867088,0.016802236686042294,2820391.4967320026,2.8203914967320025
16,17,15406.221298466704,3.6242637600000003,9.85316456e-06,0.000268118252,0.006039931431280264,7845303.944027453,7.845303944027453
17,18,15406.221298466704,3.64779615,0.000113923677,0.00310002081,0.06983453826324003,665486.4596054053,0.6654864596054053
18,19,15406.221298466704,3.64788222,3.807537e-05,0.00103608344,0.02333997596612003,1991032.4750250848,1.9910324750250847
19,20,15406.221298466704,3.68689466,0.000104776344,0.00285110949,0.06422727739160315,700808.6776047305,0.7008086776047304
20,21,15406.221298466704,3.6869657,3.28781643e-05,0.000894660363,0.020154119699221457,2233212.4774334994,2.2332124774334994
21,22,15406.221298466704,3.7089436099999995,0.000428861298,0.0116699096,0.26288943188520664,168181.16328665643,0.16818116328665644
22,23,15406.221298466704,3.7090303899999997,0.000148790117,0.00404878519,0.09120745917311342,484718.54815377685,0.48471854815377685
23,24,15406.221298466704,3.71880579,8.67939434e-06,0.000236178326,0.005320417248632862,8244132.880767117,8.244132880767117
24,25,15406.221298466704,3.71894956,4.76484229e-06,0.000129657958,0.0029208200611301307,15015351.537911518,15.015351537911517
25,26,15406.221298466704,3.8307719,1.4129692e-10,3.8448844e-09,8.661417385797656e-08,463290425267.6343,463290.4252676343
26,27,15406.221298466704,3.83950162,6.29325143e-07,1.71248084e-05,0.0003857725798198429,103310687.22983187,103.31068722983187
27,28,15406.221298466704,3.83960629,2.32376024e-07,6.32327328e-06,0.00014244512437469503,279765076.07021624,279.76507607021625
28,29,15406.221298466704,3.8471835,1.1943349e-11,3.2499503e-10,7.321202095080986e-09,5411156214051.948,5411156.214051948
29,30,15406.221298466704,3.8537872000000006,5.9677224e-10,1.6238999e-08,3.658178433682356e-07,107739038761.29074,107739.03876129074
30,31,15406.221298466704,3.8628416099999994,2.67524979e-06,7.27972511e-05,0.00163991225303832,23864913.12671946,23.86491312671946
31,32,15406.221298466704,3.86292744,9.40864879e-07,2.56022358e-05,0.0005767445900913486,67852833.79092033,67.85283379092033
32,33,15406.221298466704,3.8705437,9.9158147e-11,2.6982305e-09,6.078335595491252e-08,640030353996.1338,640030.3539961338
33,34,15406.221298466704,3.8768589500000004,2.04411081e-05,0.000556230836,0.012530278018962428,3089587.2383627766,3.0895872383627765
34,35,15406.221298466704,3.8775527499999995,5.84951476e-06,0.000159173389,0.003585717851510422,10790757.035746396,10.790757035746395
35,36,15406.221298466704,3.89431977,4.42136206e-06,0.000120311386,0.002710268717491516,14092692.986079782,14.092692986079783
