,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,1.5207772,9.8239313e-11,2.6732276e-09,6.022011616297211e-08,10650323609583.078,10650323.609583078
1,2,15406.221298466704,1.5216113,9.3643052e-11,2.548157e-09,5.740263543267284e-08,11154706943795.268,11154706.943795267
2,3,15406.221298466704,2.63981247,4.60146875e-05,0.00125212327,0.028206730501595223,4347395.925982502,4.347395925982502
3,4,15406.221298466704,2.9381299,1.0908947e-11,2.9684755e-10,6.687119804631636e-09,13299921846025.824,13299921.846025825
4,5,15406.221298466704,2.9389219,1.6151133e-11,4.3949466e-10,9.900548728629769e-09,8975895140580.416,8975895.140580416
5,6,15406.221298466704,3.08198833,0.000262310554,0.00713783316,0.1607948137081696,479221.3571542034,0.4792213571542034
6,7,15406.221298466704,3.09001923,2.29690356e-09,6.25019254e-08,1.4079882582072227e-06,54302345899.51045,54302.34589951045
7,8,15406.221298466704,3.0907981,1.7854265e-11,4.8583926e-10,1.0944558542510239e-08,6980572032309.854,6980572.0323098535
8,9,15406.221298466704,3.398845,2.6345714e-13,7.169034e-12,1.614976641252001e-10,355746673221032.8,355746673.2210328
9,10,15406.221298466704,3.3988571,2.0784669e-11,5.6557958e-10,1.2740878812832548e-08,4509237078390.548,4509237.078390548
10,11,15406.221298466704,3.4227147000000007,2.6477762e-13,7.2049654e-12,1.6230711053277913e-10,346618329455505.75,346618329.4555057
11,12,15406.221298466704,3.4227238000000004,6.9508566e-11,1.8914244e-09,4.260833866826423e-08,1320355886819.2566,1320355.8868192567
12,13,15406.221298466704,3.5217783499999995,0.000845361559,0.0230034571,0.5182016214088467,99658.95888603778,0.09965895888603779
13,14,15406.221298466704,3.54461455,0.00743391644,0.202287152,4.5569466834792305,11115.274092595468,0.011115274092595467
14,15,15406.221298466704,3.6158073000000006,2.5669907e-12,6.9851368e-11,1.5735500730066085e-09,30325276699559.992,30325276.699559994
15,16,15406.221298466704,3.6241672000000005,3.7295861e-11,1.014872e-09,2.2862141572774034e-08,2072810428740.694,2072810.4287406942
16,17,15406.221298466704,3.6242638,6.9196236e-14,1.8829255e-12,4.241688223084817e-11,1117128223914777.4,1117128223.9147773
17,18,15406.221298466704,3.6477961999999997,1.0086045e-10,2.7445524e-09,6.182685759671019e-08,751678793366.541,751678.793366541
18,19,15406.221298466704,3.6478822,1.8081879e-13,4.9203293e-12,1.1084084574418858e-10,419255650452586.2,419255650.4525862
19,20,15406.221298466704,3.6868947,6.0561022e-12,1.6479493e-10,3.712354726857983e-09,12124658116400.207,12124658.116400206
20,21,15406.221298466704,3.6869657,9.6156644e-13,2.6165554e-11,5.894345241931359e-10,76358661966060.95,76358661.96606095
21,22,15406.221298466704,3.7089435999999996,3.8058775e-11,1.0356319e-09,2.3329803329553194e-08,1895131742145.2432,1895131.742145243
22,23,15406.221298466704,3.7090303999999996,1.8613958e-12,5.065116e-11,1.1410245845394745e-09,38745831976480.66,38745831.976480655
23,24,15406.221298466704,3.7188058,2.0806241e-10,5.6616662e-09,1.2754102320878332e-07,343906809914.8886,343906.80991488864
24,25,15406.221298466704,3.7189496,2.0332488e-10,5.5327511e-09,1.2463694541942045e-07,351879119262.12415,351879.1192621241
25,26,15406.221298466704,3.8307719,3.0919874e-14,8.4137254e-13,1.8953699360911257e-11,2117133794135348.2,2117133794.1353483
26,27,15406.221298466704,3.8395016,2.0145613e-12,5.4819e-11,1.234914127539024e-09,32273038318739.324,32273038.318739325
27,28,15406.221298466704,3.8396063,3.0890855e-13,8.405829e-12,1.893591088603732e-10,210452884917902.88,210452884.9179029
28,29,15406.221298466704,3.8471835,1.710991e-14,4.6558433e-13,1.0488273342648457e-11,3777186855918068.0,3777186855.918068
29,30,15406.221298466704,3.8537872000000006,1.5579555e-14,4.2394124e-13,9.550174804942017e-12,4126925800963013.0,4126925800.963013
30,31,15406.221298466704,3.8628415999999994,9.2192746e-12,2.5086921e-10,5.651360645715612e-09,6925122322146.803,6925122.322146803
31,32,15406.221298466704,3.8629273999999993,3.5845754e-13,9.7541263e-12,2.197323458307696e-10,178097384247159.16,178097384.24715915
32,33,15406.221298466704,3.8705437,5.8949265e-14,1.6040911e-12,3.6135549787708976e-11,1076590588975294.1,1076590588.975294
33,34,15406.221298466704,3.8768589000000007,1.5685645e-11,4.2682813e-10,9.615207345669676e-09,4026266638526.8496,4026266.6385268494
34,35,15406.221298466704,3.8775527,5.921728e-12,1.6113841e-10,3.629984139297925e-09,10659168235005.98,10659168.23500598
35,36,15406.221298466704,3.8943198,5.4953139e-13,1.4953509e-11,3.368594825271175e-10,113385509519094.67,113385509.51909468
36,37,15406.221298466704,3.8944435,9.678271e-14,2.6335915e-12,5.932722716380602e-11,643740596332236.4,643740596.3322364
37,38,15406.221298466704,3.9181037,5.0170469e-13,1.3652079e-11,3.0754199911096595e-10,121946393157951.55,121946393.15795155
38,39,15406.221298466704,3.9182229,8.1272467e-10,2.2115362e-08,4.981954020374019e-07,75272101438.58607,75272.10143858608
39,40,15406.221298466704,3.92063355,2.67945666e-06,7.29117237e-05,0.0016424910393952902,22789217.141242795,22.789217141242794
40,41,15406.221298466704,3.9216630499999994,1.40593079e-06,3.82573235e-05,0.0008618272349980617,43398041.245679595,43.39804124567959
41,42,15406.221298466704,3.9231143,1.0668054e-12,2.9029251e-11,6.539453824487343e-10,57130340087646.6,57130340.0876466
42,43,15406.221298466704,3.9297061,4.86211675e-08,1.32304922e-06,2.9804487281271236e-05,1247209192.5900564,1247.2091925900563
43,44,15406.221298466704,3.9297414,5.1907451e-10,1.4124736e-08,3.1818959574195944e-07,116821634927.21918,116821.63492721917
44,45,15406.221298466704,3.9382106999999995,2.5899347e-10,7.0475705e-09,1.587614608914379e-07,232626529389.4373,232626.5293894373
45,46,15406.221298466704,3.93822694,1.31910949e-09,3.58947965e-08,8.086062930781985e-07,45673241819.686386,45673.24181968639
46,47,15406.221298466704,3.94016361,2.45854862e-05,0.000669005094,0.015070757211903013,2446940.0587205896,2.4469400587205894
47,48,15406.221298466704,3.94737792,1.76554011e-06,4.8042788e-05,0.0010822656151370537,33887629.34025057,33.88762934025057
48,49,15406.221298466704,3.9632764000000003,8.0038631e-10,2.1779618e-08,4.906320605423269e-07,73855384556.24077,73855.38455624077
49,50,15406.221298466704,3.9633190600000003,4.68605865e-09,1.27514141e-07,2.8725261571149245e-06,12614210434.508184,12614.210434508184
50,51,15406.221298466704,3.9673514399999994,1.51921442e-09,4.13399235e-08,9.312694282467376e-07,38790359568.19789,38790.35956819789
51,52,15406.221298466704,3.9681442,2.1355483e-10,5.8111227e-09,1.3090784409051964e-07,275786601754.6313,275786.60175463127
52,53,15406.221298466704,3.9860381999999994,1.3400198e-13,3.6463792e-12,8.214241890787923e-11,433620009285538.25,433620009.28553826
53,54,15406.221298466704,3.9862745,2.1292069e-13,5.7938671e-12,1.3051912003191812e-10,272850924641744.94,272850924.6417449
54,55,15406.221298466704,3.99815679,0.000274530757,0.00747036189,0.16828572566309238,209736.6987326669,0.2097366987326669
55,56,15406.221298466704,4.010035,1.3645104e-10,3.7130214e-09,8.364367816129123e-08,418238067726.8195,418238.06772681954
56,57,15406.221298466704,4.0102634,2.2264272e-12,6.0584163e-11,1.3647866675574238e-09,25628176371814.26,25628176.371814262
57,58,15406.221298466704,4.0505533,7.1082994e-11,1.9342667e-09,4.357345369355188e-08,778997624616.6194,778997.6246166194
58,59,15406.221298466704,4.0507598,8.9617868e-14,2.4386263e-12,5.4935221516033007e-11,617789918914039.2,617789918.9140393
59,60,15406.221298466704,4.0707579,5.5377838e-12,1.5069075e-10,3.3946286220611607e-09,9851062615887.973,9851062.615887973
60,61,15406.221298466704,4.0709777,2.7286667e-15,7.4250793e-14,1.6726565020261669e-12,1.998933001515463e+16,19989330015.154633
61,62,15406.221298466704,4.0749435,2.4616476e-10,6.6984831e-09,1.508975377548716e-07,220929771548.53378,220929.77154853378
62,63,15406.221298466704,4.0751543,1.4987439e-13,4.0782894e-12,9.187211209075317e-11,362815054051597.94,362815054.05159795
63,64,15406.221298466704,4.07828379,1.3663659e-05,0.000371807051,0.008375741921070226,3970503.240440649,3.970503240440649
64,65,15406.221298466704,4.095377,9.2972472e-13,2.5299096e-11,5.699157387021499e-10,57624724232380.12,57624724.232380114
65,66,15406.221298466704,4.0956044,2.295588e-12,6.2466123e-11,1.4071818277304606e-09,23334416781718.793,23334416.781718794
66,67,15406.221298466704,4.10307884,5.97395192e-05,0.00162559492,0.03661997092491987,891771.5034926721,0.8917715034926721
67,68,15406.221298466704,4.1077046,1.066026e-11,2.9008043e-10,6.534676148717418e-09,4980575054018.27,4980575.054018269
68,69,15406.221298466704,4.1091413,5.3003969e-11,1.4423114e-09,3.249111860420454e-08,1000652492300.1678,1000652.4923001678
69,70,15406.221298466704,4.1100044,2.0240063e-11,5.507601e-10,1.2407038565160505e-08,2618823194626.3115,2618823.1946263113
70,71,15406.221298466704,4.127655,7.0833302e-13,1.9274722e-11,4.342039397859881e-10,73874956737335.27,73874956.73733526
71,72,15406.221298466704,4.1336656,1.0192583e-11,2.7735431e-10,6.247992921741367e-09,5111573622564.733,5111573.622564733
72,73,15406.221298466704,4.1337895,2.5056331e-12,6.8181745e-11,1.5359382281489273e-09,20791333669337.47,20791333.66933747
73,74,15406.221298466704,4.1415911,6.7636516e-14,1.8404831e-12,4.1460783122320093e-11,765882267397288.0,765882267.397288
74,75,15406.221298466704,4.1487131,4.1391566e-14,1.1263218e-12,2.5372784444118893e-11,1245067318083463.0,1245067318.083463
75,76,15406.221298466704,4.1560354,4.1172878e-11,1.120371e-09,2.5238729997265743e-08,1245076280040.8972,1245076.2800408972
76,77,15406.221298466704,4.1561575,8.2288317e-12,2.239179e-10,5.044225022823064e-09,6229177812736.033,6229177.812736033
77,78,15406.221298466704,4.1638746,2.7754502e-14,7.5523837e-13,1.701334510030054e-11,1836616724588013.2,1836616724.5880132
78,79,15406.221298466704,4.16454458,1.54738018e-07,4.21063578e-06,9.485348720616633e-05,329264813.7423012,329.2648137423012
79,80,15406.221298466704,4.1655054,1.2353072e-13,3.3614416e-12,7.572359863810917e-11,412160929761089.94,412160929.7610899
80,81,15406.221298466704,4.1759639,4.1635322e-14,1.1329547e-12,2.552220542628131e-11,1213703947432792.8,1213703947.4327927
81,82,15406.221298466704,4.1761007,4.9311514e-12,1.3418346e-10,3.0227665590984185e-09,10246691832820.098,10246691.832820097
82,83,15406.221298466704,4.1897707,1.5181363e-14,4.1310591e-13,9.306085470816012e-12,3295819116852413.5,3295819116.8524137
83,84,15406.221298466704,4.197813,1.4848679e-10,4.040531e-09,9.10215215212961e-08,335033177269.90375,335033.17726990377
84,85,15406.221298466704,4.1978588,3.1096957e-13,8.4619126e-12,1.9062250189544268e-10,159971835037207.9,159971835.0372079
85,86,15406.221298466704,4.1985493,6.6305816e-10,1.8042728e-08,4.064507191536095e-07,74988644571.7189,74988.6445717189
86,87,15406.221298466704,4.1986585,2.4369521e-12,6.6312844e-11,1.4938371825299595e-09,20401694907923.418,20401694.90792342
87,88,15406.221298466704,4.20133448,3.57242591e-09,9.7210652e-08,2.189875893002339e-06,13890564444.314955,13890.564444314954
88,89,15406.221298466704,4.2013669,3.3106837e-11,9.0088281e-10,2.02942947079504e-08,1498840362821.0974,1498840.3628210975
89,90,15406.221298466704,4.2024717,3.200417e-15,8.7087767e-14,1.961836637741458e-12,1.5492586797501186e+16,15492586797.501186
90,91,15406.221298466704,4.2222514,1.4458801e-11,3.93444e-10,8.863159250689154e-09,3381273910896.8804,3381273.9108968806
91,92,15406.221298466704,4.2223134,5.6498269e-13,1.5373961e-11,3.4633103777780344e-10,86528337683826.06,86528337.68382606
92,93,15406.221298466704,4.2264557,1.1114537e-13,3.0244195e-12,6.813145255175506e-11,438555497566479.94,438555497.5664799
93,94,15406.221298466704,4.2499309,2.1467073e-14,5.8414878e-13,1.31591884171564e-11,2233194036351835.5,2233194036.3518357
94,95,15406.221298466704,4.2500157,5.0826821e-12,1.3830681e-10,3.1156539793947764e-09,9431490871530.762,9431490.871530762
95,96,15406.221298466704,4.25195169,1.10289404e-08,3.00112731e-07,6.760675047091341e-06,4340563807.746508,4340.563807746507
96,97,15406.221298466704,4.25491714,5.51835342e-08,1.50162032e-06,3.382717914372369e-05,865689334.1270794,865.6893341270794
97,98,15406.221298466704,4.2699904,2.2956975e-12,6.2469106e-11,1.407248950580962e-09,20589677395274.04,20589677.39527404
98,99,15406.221298466704,4.2700357,8.3389838e-13,2.2691527e-11,5.111747606756396e-10,56680967022374.47,56680967.022374466
99,100,15406.221298466704,4.2725773,1.1593802e-11,3.1548342e-10,7.10693185741739e-09,4069576658432.2144,4069576.6584322145
100,101,15406.221298466704,4.2726288,2.1468816e-11,5.8419625e-10,1.3160256865817803e-08,2197613501682.2314,2197613.5016822317
101,102,15406.221298466704,4.2777076,5.9673579e-11,1.6238005e-09,3.657954997344386e-08,787824581093.3181,787824.5810933181
102,103,15406.221298466704,4.27784061,7.08930585e-08,1.92909806e-06,4.3457024358653414e-05,663082229.4468305,663.0822294468305
103,104,15406.221298466704,4.28072691,3.09727e-07,8.42810095e-06,0.0001898608138557408,151465340.25237074,151.46534025237074
104,105,15406.221298466704,4.295083,1.8800243e-11,5.1158067e-10,1.1524437445446135e-08,2470397017011.768,2470397.017011768
105,106,15406.221298466704,4.2951212,6.6819332e-12,1.8182465e-10,4.095985417744319e-09,6950507233895.353,6950507.233895352
106,107,15406.221298466704,4.3014784,3.7708775e-10,1.0261079e-08,2.3115255405576566e-07,122616590445.34491,122616.5904453449
107,108,15406.221298466704,4.32127047,6.17357364e-05,0.00167991477,0.03784364022796683,738709.8956761387,0.7387098956761387
108,109,15406.221298466704,4.41990614,0.000399476499,0.0108703095,0.24487672439400518,106687.74197298143,0.10668774197298143
109,110,15406.221298466704,4.4669418,9.3137398e-10,2.5343974e-08,5.709267252995718e-07,44329202291.668915,44329.20229166892
110,111,15406.221298466704,4.4682055,6.7846808e-13,1.8462057e-11,4.1589690870974075e-10,60801747655670.0,60801747.65567
111,112,15406.221298466704,4.58692169,1.36780509e-05,0.000372198701,0.008384564070404738,2787768.499609532,2.7877684996095318
112,113,15406.221298466704,4.6077833,5.8653354e-10,1.5960389e-08,3.5954158099903694e-07,64132166046.89875,64132.166046898754
113,114,15406.221298466704,4.6084328,1.3007634e-11,3.5395573e-10,7.973602487279461e-09,2890592114696.4,2890592.1146964
114,115,15406.221298466704,4.6843858,6.5958881e-13,1.7948325e-11,4.043240281820429e-10,54276727207294.03,54276727.20729403
115,116,15406.221298466704,4.69618273,8.85560603e-09,2.40973293e-07,5.428433969404043e-06,4012283857.6728053,4012.2838576728054
116,117,15406.221298466704,4.6962194,7.8433163e-11,2.1342748e-09,4.8079063693058656e-08,453001912011.04517,453001.91201104515
117,118,15406.221298466704,4.70050955,3.69291524e-06,0.000100489335,0.0022637351376104393,9594906.372839585,9.594906372839585
118,119,15406.221298466704,4.7044196,1.4265679e-13,3.8818883e-12,8.744776610191397e-11,247761772643350.25,247761772.64335024
119,120,15406.221298466704,4.70681047,2.84487754e-07,7.74130513e-06,0.00017438930576421102,124051262.93207525,124.05126293207525
120,121,15406.221298466704,4.706903,9.0673389e-12,2.4673483e-10,5.558224962821509e-09,3891878787037.4683,3891878.787037468
121,122,15406.221298466704,4.71105671,4.3336895e-05,0.00117925694,0.02656525958240898,812142.2623494326,0.8121422623494325
122,123,15406.221298466704,4.7554822,1.299645e-11,3.5365139e-10,7.966746761617306e-09,2632912810491.466,2632912.810491466
123,124,15406.221298466704,4.7562761,2.0795752e-12,5.658812e-11,1.2747672626093786e-09,16446333688691.879,16446333.688691879
124,125,15406.221298466704,4.7604008,2.7027781e-12,7.3546336e-11,1.6567869437842775e-09,12621295920587.416,12621295.920587417
125,126,15406.221298466704,4.76074553,6.91920945e-07,1.88281265e-05,0.0004241434351591346,49290533.29574014,49.29053329574014
126,127,15406.221298466704,4.7611623,9.7598813e-12,2.6557986e-10,5.982749346209487e-09,3493505289079.0845,3493505.2890790845
127,128,15406.221298466704,4.76195812,3.83023644e-06,0.000104226034,0.0023479122186903802,8897389.451035354,8.897389451035354
128,129,15406.221298466704,4.7748551,9.5249728e-12,2.591877e-10,5.838751829068162e-09,3548955588019.6,3548955.5880196
129,130,15406.221298466704,4.7756219,2.3556337e-10,6.4100054e-09,1.4439894856696703e-07,143432423023.03812,143432.4230230381
130,131,15406.221298466704,4.8118553,2.1249727e-12,5.7823447e-11,1.3025956608343185e-09,15543680736609.836,15543680.736609835
131,132,15406.221298466704,4.8118567,1.9074486e-12,5.1904314e-11,1.1692546777775053e-09,17316256067332.197,17316256.067332197
132,133,15406.221298466704,4.841404,4.0847642e-12,1.1115209e-10,2.5039362258401566e-09,7938965853200.104,7938965.853200103
133,134,15406.221298466704,4.8414187,5.6295801e-12,1.5318866e-10,3.450899209471834e-09,5760377778856.874,5760377.778856874
134,135,15406.221298466704,4.9234862,8.8289239e-14,2.4024723e-12,5.412077981978973e-11,349235956107122.06,349235956.10712206
135,136,15406.221298466704,4.93882751,5.45650835e-07,1.48479148e-05,0.00033448072532961143,55983300.57757532,55.98330057757532
136,137,15406.221298466704,4.9529438,9.2351973e-11,2.5130251e-09,5.661121166370192e-08,327950668552.49457,327950.66855249455
137,138,15406.221298466704,4.9530153,3.0398487e-10,8.271849e-09,1.8634092222515821e-07,99628575834.88791,99628.5758348879
138,139,15406.221298466704,4.9599895,2.3669157e-12,6.4407049e-11,1.4509052847505402e-09,12741478843618.822,12741478.843618821
139,140,15406.221298466704,4.9599943,1.7731878e-11,4.8250898e-10,1.086953603744816e-08,1700774095144.4136,1700774.0951444136
140,141,15406.221298466704,4.96944857,2.08228016e-06,5.66617236e-05,0.001276425387044921,14400618.225530364,14.400618225530364
141,142,15406.221298466704,4.9854331,1.03436298e-06,2.81464472e-05,0.0006340583714207976,28711987.226449024,28.711987226449025
142,143,15406.221298466704,4.98921728,1.11204701e-09,3.02603382e-08,6.816782210283351e-07,26645538332.495888,26645.53833249589
143,144,15406.221298466704,4.9892526,8.3575421e-12,2.2742028e-10,5.123123734577927e-09,3545355989556.484,3545355.989556484
144,145,15406.221298466704,4.9909058,2.5901697e-11,7.0482103e-10,1.587758662520478e-08,1142821919799.3333,1142821.9197993332
145,146,15406.221298466704,4.9909878,2.9305999e-11,7.9745677e-10,1.7964403558603307e-08,1010017372732.3856,1010017.3727323856
146,147,15406.221298466704,4.9986262,3.5140982e-13,9.5623474e-12,2.1541213527428798e-10,83845357750135.11,83845357.75013511
147,148,15406.221298466704,5.00223303,1.43325309e-07,3.90008017e-06,8.785756428359665e-05,205130507.14924753,205.13050714924753
148,149,15406.221298466704,5.0027313,1.2971482e-11,3.5297198e-10,7.951441525714881e-09,2265863638081.097,2265863.638081097
149,150,15406.221298466704,5.00521374,8.79261961e-07,2.39259352e-05,0.00053898236675477,33377878.54058148,33.37787854058148
150,151,15406.221298466704,5.03688,1.81909e-11,4.9499954e-10,1.1150913800761303e-08,1583091073419.961,1583091.073419961
151,152,15406.221298466704,5.036972,6.0947634e-13,1.6584694e-11,3.736053813139255e-10,47247565775997.41,47247565.77599741
152,153,15406.221298466704,5.04275465,1.40617772e-07,3.82640428e-06,8.619786016233975e-05,204080340.90670314,204.08034090670316
