,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.5863278,1.9877015e-11,5.4088106e-10,1.2184492294578026e-08,10701459931498.72,10701459.931498721
1,2,15406.221298466704,2.8788047,2.4890248e-10,6.7729808e-09,1.525757438760982e-07,619696532665.3811,619696.5326653811
2,3,15406.221298466704,3.367486,0.00030646869,0.00833943672,0.18786348915239143,314442.6086990354,0.3144426086990354
3,4,15406.221298466704,3.36770058,0.000918565551,0.0249954406,0.5630752342957088,104890.05907631342,0.10489005907631342
4,5,15406.221298466704,3.42376542,0.000146220438,0.00397886056,0.08963226118815246,627082.693287099,0.627082693287099
5,6,15406.221298466704,3.42386484,0.000438045274,0.011919817,0.26851915469849574,209303.29406719204,0.20930329406719203
6,7,15406.221298466704,3.4422285600000007,0.00119196565,0.0324350372,0.7306678733112938,75694.10325296692,0.07569410325296692
7,8,15406.221298466704,3.4422330900000007,0.00401443336,0.109238289,2.4608238380872067,22475.0062301424,0.0224750062301424
8,9,15406.221298466704,3.521651,5.3529133e-11,1.4566017e-09,3.281304102119671e-08,1574039932598.0962,1574039.932598096
9,10,15406.221298466704,3.5561878999999994,1.6865632e-11,4.5893717e-10,1.0338532377582278e-08,4851635658796.944,4851635.658796945
10,11,15406.221298466704,3.6317317499999997,2.87591065e-05,0.000782575051,0.01762916169999363,2671334.1839343556,2.6713341839343556
11,12,15406.221298466704,3.6318044699999996,9.57082102e-06,0.000260435307,0.0058668565159796585,8026539.143160001,8.02653914316
12,13,15406.221298466704,3.66579962,7.81443086e-05,0.00212641479,0.047901997659197185,955963.6539759861,0.955963653975986
13,14,15406.221298466704,3.6658737700000006,2.61668592e-05,0.000712036446,0.016040129480996423,2854702.0192521308,2.8547020192521306
14,15,15406.221298466704,3.69790602,3.95594798e-05,0.00107646815,0.024249726470529656,1839614.0515753583,1.8396140515753583
15,16,15406.221298466704,3.69793844,0.000123216421,0.00335288956,0.07553093521537223,590605.2155665415,0.5906052155665416
16,17,15406.221298466704,3.72591662,0.000114601949,0.00311847776,0.07025031497607281,620802.5612037542,0.6208025612037542
17,18,15406.221298466704,3.72599006,0.000346485525,0.00942835119,0.21239357164772085,205321.64131302765,0.20532164131302766
18,19,15406.221298466704,3.8396711,1.0939442e-10,2.9767735e-09,6.705813058750684e-08,594247897931.8783,594247.8979318783
19,20,15406.221298466704,3.8493523600000006,6.8505517e-07,1.86412999e-05,0.00041993475580844714,94179493.30129093,94.17949330129093
20,21,15406.221298466704,3.84949875,2.20738684e-07,6.00660542e-06,0.00013531150398152307,292249583.77489537,292.24958377489537
21,22,15406.221298466704,3.8544359,6.9434319e-10,1.889404e-08,4.256282569765997e-07,92552517373.77716,92552.51737377715
22,23,15406.221298466704,3.8744893000000005,2.7150215e-10,7.3879489e-09,1.664292075362607e-07,233038796370.7696,233038.7963707696
23,24,15406.221298466704,3.88238239,1.22479958e-06,3.33284916e-05,0.0007507948776469909,51343437.900677875,51.34343790067788
24,25,15406.221298466704,3.88251233,3.9077986e-07,1.06336611e-05,0.00023954573627107893,160906724.9172811,160.90672491728108
25,26,15406.221298466704,3.8892111800000007,1.25998911e-09,3.42860496e-08,7.723658508104575e-07,49647059490.75312,49647.05949075312
26,27,15406.221298466704,3.9006264200000005,7.10642917e-06,0.000193375774,0.004356198929458449,8725501.415920539,8.725501415920538
27,28,15406.221298466704,3.90075517,2.13071125e-05,0.000579796033,0.01306113357946136,2909874.2536327685,2.9098742536327684
28,29,15406.221298466704,3.9261146000000005,2.7670186e-11,7.5294404e-10,1.6961659892420507e-08,2197576004074.5676,2197576.0040745675
29,30,15406.221298466704,3.9277376999999998,5.4902222e-11,1.4939654e-09,3.36547364337257e-08,1106184441498.868,1106184.441498868
30,31,15406.221298466704,3.9349815799999996,1.23859045e-05,0.000337037578,0.007592485991565097,4876284.779475989,4.876284779475989
31,32,15406.221298466704,3.9351193900000005,3.70905145e-05,0.00100928417,0.02273626538628585,1628202.0673631944,1.6282020673631945
32,33,15406.221298466704,3.94768333,2.12537437e-08,5.78343759e-07,1.3028418821618147e-05,2814378710.3863,2814.3787103863
33,34,15406.221298466704,3.9479379700000004,6.42269669e-08,1.74770457e-06,3.9370749747744714e-05,931143304.7052562,931.1433047052562
34,35,15406.221298466704,3.9630876,8.7785633e-11,2.3887685e-09,5.3812072328926374e-08,673473385572.9261,673473.3855729261
35,36,15406.221298466704,3.9821985,2.4451026e-11,6.6534622e-10,1.4988333906853066e-08,2383302115074.8027,2383302.1150748027
36,37,15406.221298466704,3.9824466999999997,6.9796967e-11,1.8992721e-09,4.278512677061504e-08,834753852676.49,834753.85267649
37,38,15406.221298466704,4.00349808,1.99377197e-07,5.42532962e-06,0.00012221703915608382,287640834.0883762,287.6408340883762
38,39,15406.221298466704,4.00384712,6.49687308e-08,1.76788899e-06,3.9825446618675595e-05,882486473.7638701,882.4864737638701
39,40,15406.221298466704,4.02949476,1.39613476e-07,3.79907578e-06,8.55822326713168e-05,402870783.486735,402.870783486735
40,41,15406.221298466704,4.02989674,4.41447838e-08,1.20124071e-06,2.7060490624820324e-05,1273748690.5514297,1273.7486905514297
41,42,15406.221298466704,4.06245613,1.45270087e-06,3.95300012e-05,0.0008904970166215498,37783540.43286932,37.78354043286932
42,43,15406.221298466704,4.0626421,4.8964057e-07,1.33237972e-05,0.0003001467651092376,112083532.5803749,112.0835325803749
43,44,15406.221298466704,4.07305908,2.07555331e-06,5.64786715e-05,0.0012723018678952004,26239096.562486082,26.239096562486083
44,45,15406.221298466704,4.07318687,6.84605823e-07,1.86290708e-05,0.0004196593087627467,79542878.82914987,79.54287882914987
