,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.5863278,8.4977286e-12,2.3123496e-10,5.209057227562353e-09,25031757260440.05,25031757.26044005
1,2,15406.221298466704,2.8788047,8.5063859e-11,2.3147053e-09,5.214364101111619e-08,1813273059100.3914,1813273.0591003913
2,3,15406.221298466704,3.367486,0.000914512377,0.0248851478,0.5605906626750916,105375.07943227758,0.10537507943227757
3,4,15406.221298466704,3.36770058,0.000307937124,0.00837939512,0.188763630484382,312883.3368913856,0.3128833368913856
4,5,15406.221298466704,3.42376542,0.000443316705,0.0120632611,0.27175051063402733,206832.50831853782,0.2068325083185378
5,6,15406.221298466704,3.42386484,0.000144550577,0.00393342134,0.08860864629992518,634271.5518787984,0.6342715518787984
6,7,15406.221298466704,3.4422285600000007,0.00401376095,0.109219991,2.460411654745603,22478.860128700446,0.022478860128700446
7,8,15406.221298466704,3.4422330900000007,0.00119232107,0.032444708,0.7308857436631219,75671.24078121969,0.07567124078121969
8,9,15406.221298466704,3.521651,4.1862985e-11,1.1391498e-09,2.5661761494899284e-08,2012684783451.408,2012684.783451408
9,10,15406.221298466704,3.5561878999999994,1.3956531e-11,3.7977654e-10,8.555270719901322e-09,5862911178956.062,5862911.178956062
10,11,15406.221298466704,3.6317317499999997,9.60328634e-06,0.000261318724,0.005886757564571763,7999884.786613448,7.999884786613448
11,12,15406.221298466704,3.6318044699999996,2.87426228e-05,0.000782126503,0.017619057289666618,2672705.6220216798,2.6727056220216796
12,13,15406.221298466704,3.66579962,2.62281828e-05,0.000713705143,0.01607772048405578,2848200.3254408864,2.8482003254408865
13,14,15406.221298466704,3.6658737700000006,7.80834889e-05,0.0021247596,0.047864715543848954,956650.2066959535,0.9566502066959535
14,15,15406.221298466704,3.69790602,0.000122960904,0.00334593654,0.07537430480997012,591848.0797204578,0.5918480797204578
15,16,15406.221298466704,3.69793844,3.95763818e-05,0.00107692811,0.024260087296275525,1838780.0394133737,1.8387800394133738
16,17,15406.221298466704,3.72591662,0.000345789245,0.00940940436,0.2119667561377024,205747.24195988808,0.20574724195988808
17,18,15406.221298466704,3.72599006,0.000114615061,0.00311883446,0.07025835255429905,620694.8376898395,0.6206948376898396
18,19,15406.221298466704,3.8396711,2.8608857e-11,7.7848655e-10,1.7537059647697837e-08,2272282465897.782,2272282.4658977822
19,20,15406.221298466704,3.8493523600000006,2.29858387e-07,6.25476468e-06,0.00014090182782704717,280686511.5347291,280.6865115347291
20,21,15406.221298466704,3.84949875,6.63340415e-07,1.80504121e-05,0.00040662373979441534,97251406.76377775,97.25140676377775
21,22,15406.221298466704,3.85443592,2.02064654e-09,5.49845858e-08,1.2386443435644512e-06,31803290621.766483,31803.290621766482
22,23,15406.221298466704,3.8744893000000005,3.1165914e-11,8.4806762e-10,1.9104520421526142e-08,2030119644431.9314,2030119.6444319314
23,24,15406.221298466704,3.88238239,4.12460167e-07,1.12236121e-05,0.00025283563586543884,152464228.56757063,152.46422856757061
24,25,15406.221298466704,3.88251233,1.17970421e-06,3.21013831e-05,0.0007231516833199682,53300740.05265577,53.30074005265577
25,26,15406.221298466704,3.8892111800000007,3.45359519e-09,9.39770999e-08,2.1170333664862023e-06,18112937637.566917,18112.937637566916
26,27,15406.221298466704,3.9006264200000005,2.14487882e-05,0.000583651185,0.013147979943212606,2890939.9079699065,2.8909399079699063
27,28,15406.221298466704,3.90075517,7.07821982e-06,0.00019260816,0.0043389067652320765,8759408.390767798,8.759408390767797
28,29,15406.221298466704,3.9261146000000005,1.6718215e-11,4.5492574e-10,1.0248166630985524e-08,3637190739674.065,3637190.739674065
29,30,15406.221298466704,3.9277376999999998,3.9010035e-11,1.061517e-09,2.391292006715893e-08,1556829769061.1367,1556829.7690611368
30,31,15406.221298466704,3.9349815799999996,3.73613111e-05,0.00101665303,0.022902262095857075,1616570.6131601238,1.6165706131601238
31,32,15406.221298466704,3.9351193900000005,1.23514728e-05,0.000336100667,0.007571379563696565,4889364.480360962,4.889364480360962
32,33,15406.221298466704,3.94768333,6.40413305e-08,1.74265324e-06,3.925695573564617e-05,934023127.225424,934.0231272254241
33,34,15406.221298466704,3.9479379700000004,2.14568345e-08,5.83870133e-07,1.3152912277386014e-05,2787200982.999664,2787.2009829996637
34,35,15406.221298466704,3.9630876,1.0295004e-10,2.8014129e-09,6.310776387231683e-08,574271631765.9749,574271.6317659748
35,36,15406.221298466704,3.9821985,6.0347699e-11,1.6421444e-09,3.6992781534904217e-08,965640495780.1122,965640.4957801122
36,37,15406.221298466704,3.9824466999999997,2.4647702e-11,6.7069811e-10,1.5108895128270285e-08,2363842564648.9814,2363842.5646489817
37,38,15406.221298466704,4.00349808,6.67659421e-08,1.81679366e-06,4.092712648542514e-05,858956249.8404783,858.9562498404783
38,39,15406.221298466704,4.00384712,1.94894923e-07,5.30336092e-06,0.0001194694317806712,294179167.2459633,294.1791672459633
39,40,15406.221298466704,4.02949476,4.65355967e-08,1.266298e-06,2.852604475142473e-05,1208670232.0382295,1208.6702320382294
40,41,15406.221298466704,4.02989674,1.31835861e-07,3.58743637e-06,8.081460080920397e-05,426510360.1813317,426.5103601813317
41,42,15406.221298466704,4.06245613,4.81629002e-07,1.31057914e-05,0.00029523572144581593,113963614.79599899,113.96361479599899
42,43,15406.221298466704,4.0626421,1.45737954e-06,3.96573159e-05,0.0008933650135800404,37657070.978414,37.657070978414
43,44,15406.221298466704,4.07305908,6.94761354e-07,1.89054172e-05,0.00042588458902826184,78387554.81738785,78.38755481738785
44,45,15406.221298466704,4.07318687,2.05081801e-06,5.58055981e-05,0.001257139275712517,26553071.876240958,26.553071876240956
45,46,15406.221298466704,4.0793247,1.2848232e-12,3.4961815e-11,7.875890006771683e-10,42192640386614.3,42192640.3866143
46,47,15406.221298466704,4.09720564,1.01455123e-06,2.76073424e-05,0.0006219138861841005,52736054.176346295,52.73605417634629
47,48,15406.221298466704,4.09737587,3.07219693e-06,8.35987303e-05,0.0018832384953682063,17413193.73368921,17.413193733689212
48,49,15406.221298466704,4.1020932,2.7212371e-12,7.4048621e-11,1.668102201294805e-09,19591240942099.473,19591240.942099474
49,50,15406.221298466704,4.1079545,1.63733682e-06,4.45542028e-05,0.0010036777588042715,32421268.056896918,32.42126805689692
50,51,15406.221298466704,4.10808372,4.81330926e-06,0.000130976812,0.0029505300262585234,11027657.667522572,11.027657667522572
51,52,15406.221298466704,4.114676,1.0858502e-11,2.9547487e-10,6.6561973188459175e-09,4864834307910.537,4864834.307910537
52,53,15406.221298466704,4.1381197,2.1416539e-11,5.8277366e-10,1.3128211374898585e-08,2424858851209.5996,2424858.8512095995
53,54,15406.221298466704,4.14167976,1.80722566e-08,4.91771118e-07,1.1078186100294076e-05,2866176744.5402226,2866.1767445402224
54,55,15406.221298466704,4.14186525,5.14648164e-08,1.4004288e-06,3.154762718988101e-05,1006344261.8383129,1006.3442618383128
55,56,15406.221298466704,4.1491423,1.0511694e-11,2.8603775e-10,6.443606071935955e-09,4901141035995.405,4901141.035995405
56,57,15406.221298466704,4.1555429,5.1789502e-12,1.409264e-10,3.1746657536809893e-09,9901930045816.68,9901930.04581668
57,58,15406.221298466704,4.1685534,2.2306386e-12,6.0698765e-11,1.3673682307775245e-09,22775062540048.855,22775062.540048856
58,59,15406.221298466704,4.1729422,1.491771e-10,4.0593156e-09,9.144467745672555e-08,339481123756.08057,339481.1237560806
59,60,15406.221298466704,4.17687559,4.92240595e-08,1.3394548e-06,3.0174056501220145e-05,1025918479.5563318,1025.9184795563317
60,61,15406.221298466704,4.1770525,1.39757589e-07,3.8029973e-06,8.567057308551121e-05,361293125.2975601,361.2931252975601
61,62,15406.221298466704,4.1826806,4.4401363e-10,1.2082226e-08,2.7217772152521986e-07,113262069089.45969,113262.06908945969
62,63,15406.221298466704,4.18299437,2.16792362e-09,5.89922031e-08,1.3289243200311365e-06,23192046969.015335,23192.046969015337
63,64,15406.221298466704,4.1836524,2.1407773e-11,5.8253513e-10,1.3122837868894074e-08,2347505543739.067,2347505.543739067
64,65,15406.221298466704,4.19879341,1.38845935e-09,3.77819021e-08,8.511173459098268e-07,35804549115.22822,35804.54911522822
65,66,15406.221298466704,4.20040607,5.63575725e-07,1.53356741e-05,0.00034546857657820985,88108699.00056864,88.10869900056865
66,67,15406.221298466704,4.20041895,1.66009283e-06,4.51734231e-05,0.0010176270579571043,29911259.318262085,29.911259318262086
67,68,15406.221298466704,4.2039089,1.208172e-11,3.2876032e-10,7.406022697334043e-09,4099739329323.2305,4099739.3293232303
68,69,15406.221298466704,4.21365213,4.50434001e-09,1.22569318e-07,2.7611337086581916e-06,10920378678.697716,10920.378678697716
69,70,15406.221298466704,4.21395969,9.94207472e-09,2.70537612e-07,6.094432831990064e-06,4946485560.952436,4946.485560952437
70,71,15406.221298466704,4.23375511,3.1653633e-09,8.6133916e-08,1.9403489275623164e-06,15319483914.28465,15319.48391428465
71,72,15406.221298466704,4.23588514,1.97845475e-06,5.38364875e-05,0.0012127810265548573,24472945.976175185,24.472945976175186
72,73,15406.221298466704,4.23591042,5.94886569e-06,0.000161876873,0.003646619382300843,8138988.481408467,8.138988481408466
73,74,15406.221298466704,4.2564621,5.49413642e-07,1.49503057e-05,0.00033678730370153924,86855864.67262515,86.85586467262516
74,75,15406.221298466704,4.25648832,1.65545043e-06,4.50470943e-05,0.0010147812942934782,28825336.123991605,28.825336123991605
75,76,15406.221298466704,4.25707722,8.30337132e-09,2.25946224e-07,5.089917367751656e-06,5744547905.605744,5744.547905605745
76,77,15406.221298466704,4.2592754,6.7840449e-11,1.8460323e-09,4.1585792841692457e-08,702019247704.6034,702019.2477046034
77,78,15406.221298466704,4.27537632,5.46528014e-08,1.48717834e-06,3.3501843085362824e-05,861607416.7744963,861.6074167744963
78,79,15406.221298466704,4.27571487,1.96750953e-08,5.35386562e-07,1.2060716716163789e-05,2392774909.367482,2392.774909367482
79,80,15406.221298466704,4.28486109,8.20605361e-09,2.23298088e-07,5.030262188761199e-06,5700334061.420729,5700.334061420729
80,81,15406.221298466704,4.29178667,1.19002107e-06,3.23821223e-05,0.0007294758573055611,39117930.31194335,39.117930311943354
81,82,15406.221298466704,4.29180861,3.57264616e-06,9.72166454e-05,0.0021900109049459273,13029683.122080006,13.029683122080005
82,83,15406.221298466704,4.29229784,2.29671375e-08,6.24967583e-07,1.4078719058030796e-05,2026135469.647397,2026.135469647397
83,84,15406.221298466704,4.2949171,2.3668389e-10,6.4404961e-09,1.450858206806079e-07,196250984494.51086,196250.98449451086
84,85,15406.221298466704,4.31123114,7.36294936e-08,2.00356044e-06,4.5134442843801355e-05,623719271.7094243,623.7192717094242
85,86,15406.221298466704,4.31152821,2.47464591e-08,6.73385387e-07,1.5169432644793008e-05,1855402499.895604,1855.4024998956038
86,87,15406.221298466704,4.3116775,2.6849e-11,7.3059847e-10,1.6458277745281443e-08,1709928597637.332,1709928.597637332
87,88,15406.221298466704,4.31717491,1.7493452e-08,4.76021029e-07,1.0723382313670868e-05,2614390448.7445984,2614.3904487445984
