,Index,Volume,Peak(eV),Amp(Ha),Amp(eV),mu^2,Lifetime(ps),Lifetime(mus)
0,1,15406.221298466704,2.58632779,3.56540977e-06,9.70197361e-05,0.002185575040798541,59660206.19494051,59.66020619494051
1,2,15406.221298466704,2.87880468,9.93169524e-05,0.00270255189,0.06088070272315902,1553048.1283934906,1.5530481283934905
2,3,15406.221298466704,3.367486,9.621315e-12,2.618093e-10,5.89780902621485e-09,10015971243865.936,10015971.243865935
3,4,15406.221298466704,3.36770058,1.82128346e-09,4.95596453e-08,1.1164359580456324e-06,52901372590.21524,52901.372590215244
4,5,15406.221298466704,3.4237654,4.9951874e-12,1.3592596e-10,3.0620202472691825e-09,18356129678243.32,18356129.67824332
5,6,15406.221298466704,3.42386484,1.16408627e-09,3.16763966e-08,7.135779787377066e-07,78760759542.98965,78760.75954298966
6,7,15406.221298466704,3.4422286000000004,4.5636971e-15,1.2418452e-13,2.7975192527518885e-12,1.977010433925421e+16,19770104339.254208
7,8,15406.221298466704,3.4422331000000006,1.020382e-11,2.7766006e-10,6.254881136089154e-09,8842219285538.271,8842219.285538271
8,9,15406.221298466704,3.5216510300000006,0.00223466591,0.0608083569,1.3698369479195542,37704.51339908181,0.037704513399081804
9,10,15406.221298466704,3.5561878699999996,0.00615359936,0.167447954,3.7721199076340324,13297.242622275086,0.013297242622275085
10,11,15406.221298466704,3.6317317,1.2043864e-11,3.277302e-10,7.382817193876732e-09,6378782379636.586,6378782.379636586
11,12,15406.221298466704,3.6318044999999994,2.4916378e-13,6.7800912e-12,1.5273591922619844e-10,308313542383699.0,308313542.383699
12,13,15406.221298466704,3.6657996,1.5186054e-11,4.1323353e-10,9.30896102599137e-09,4919192306927.584,4919192.306927584
13,14,15406.221298466704,3.6658738000000004,8.9701624e-13,2.4409053e-11,5.498656344723467e-10,83274505667610.81,83274505.66761081
14,15,15406.221298466704,3.697906,4.0823261e-12,1.1108574e-10,2.502441685001735e-09,17826644494147.973,17826644.49414797
15,16,15406.221298466704,3.6979383999999995,8.7889446e-11,2.3915934e-09,5.387570908216005e-08,827997746709.4288,827997.7467094288
16,17,15406.221298466704,3.7259166,1.1548307e-12,3.142454e-11,7.07904369227077e-10,61606592727248.06,61606592.727248065
17,18,15406.221298466704,3.7259900999999997,1.9210081e-12,5.2273286e-11,1.1775665708493943e-09,37033146498978.97,37033146.49897897
18,19,15406.221298466704,3.8396711,1.0804493e-12,2.9400524e-11,6.623090122200049e-10,60167010271076.14,60167010.27107614
19,20,15406.221298466704,3.8493524000000003,8.091753e-11,2.201878e-09,4.9601965928047356e-08,797332132885.6201,797332.1328856201
20,21,15406.221298466704,3.8494986999999994,8.1659668e-13,2.2220725e-11,5.005689212005927e-10,78999575452294.08,78999575.45229408
21,22,15406.221298466704,3.8544359,2.715e-13,7.3878906e-12,1.6642788959901344e-10,236696906651340.22,236696906.65134022
22,23,15406.221298466704,3.8744893000000005,3.7692217e-15,1.0256574e-13,2.3105105449790265e-12,1.6786100496045682e+16,16786100496.045683
23,24,15406.221298466704,3.8823824,4.3239842e-11,1.1766159e-09,2.6505766669078397e-08,1454339742744.1394,1454339.7427441394
24,25,15406.221298466704,3.8825123,1.2583607e-13,3.4241735e-12,7.713676451393639e-11,499690660188496.25,499690660.18849623
25,26,15406.221298466704,3.8892112000000005,1.6359734e-13,4.4517098e-12,1.002841990431391e-10,382370234973383.9,382370234.9733839
26,27,15406.221298466704,3.9006264000000006,5.7676449e-13,1.569456e-11,3.535532112941116e-10,107508627548788.73,107508627.54878874
27,28,15406.221298466704,3.9007552,2.4526789e-12,6.6740787e-11,1.5034776176465186e-09,25278896741229.035,25278896.741229035
28,29,15406.221298466704,3.92611456,0.000194664346,0.00529708667,0.11932808944733758,312370.18945642025,0.31237018945642026
29,30,15406.221298466704,3.9277377099999997,5.73517013e-07,1.56061924e-05,0.00035156252715550624,105893952.4715493,105.8939524715493
30,31,15406.221298466704,3.9349815999999995,1.3846163e-13,3.7677327e-12,8.4876157905486e-11,436201687590026.8,436201687.5900268
31,32,15406.221298466704,3.9351194000000005,1.0621098e-11,2.8901476e-10,6.510670075006639e-09,5685933029529.096,5685933.029529096
32,33,15406.221298466704,3.9476833,1.3022206e-10,3.5435224e-09,7.98253503684571e-08,459339110047.75134,459339.11004775134
33,34,15406.221298466704,3.9479379700000004,2.04844763e-09,5.57410935e-08,1.255686246832415e-06,29195039860.726692,29195.03986072669
34,35,15406.221298466704,3.96308756,2.33355195e-07,6.34991829e-06,0.0001430453503897468,253353216.5475504,253.3532165475504
35,36,15406.221298466704,3.9821985,5.1612931e-10,1.4044593e-08,3.1638420561139954e-07,112906166831.62016,112906.16683162017
36,37,15406.221298466704,3.98244667,5.25811261e-09,1.43080513e-07,3.223191841459523e-06,11080646754.17553,11080.64675417553
37,38,15406.221298466704,4.0034981,6.3631461e-10,1.7315001e-08,3.900570816328519e-07,90126835817.58214,90126.83581758213
38,39,15406.221298466704,4.0038471,4.3261759e-13,1.1772124e-11,2.6519201660077814e-10,132528191948436.92,132528191.94843692
39,40,15406.221298466704,4.02949476,2.1312565e-09,5.79944377e-08,1.3064475929619882e-06,26391093921.086678,26391.093921086678
40,41,15406.221298466704,4.0298967,9.8877222e-13,2.6905859e-11,6.061115059621784e-10,56867862078783.22,56867862.07878322
41,42,15406.221298466704,4.0624561,6.5373276e-11,1.7788974e-09,4.007343042671762e-08,839611942875.6626,839611.9428756626
42,43,15406.221298466704,4.0626421,3.2358336e-14,8.8051506e-13,1.9835468034680595e-11,1696028027531092.5,1696028027.5310924
43,44,15406.221298466704,4.0730591,9.0821057e-12,2.4713667e-10,5.5672769236323045e-09,5996477548088.985,5996477.5480889855
44,45,15406.221298466704,4.0731869,6.8884521e-14,1.8744431e-12,4.222580278478425e-11,790533432342304.0,790533432.342304
45,46,15406.221298466704,4.07932472,1.99463993e-05,0.00054276915,0.012227024458925375,2717787.888696279,2.7177878886962787
46,47,15406.221298466704,4.0972056,3.6889614e-10,1.0038175e-08,2.2613114571426225e-07,145036568279.03058,145036.5682790306
47,48,15406.221298466704,4.0973759,6.5027476e-13,1.7694875e-11,3.986145707782872e-10,82267931105097.8,82267931.1050978
48,49,15406.221298466704,4.10209322,0.000108048,0.00294013554,0.06623278311379081,493414.13915015996,0.49341413915015997
49,50,15406.221298466704,4.1079545,1.6366587e-10,4.4535748e-09,1.0032620752665371e-07,324347012242.97516,324347.0122429752
50,51,15406.221298466704,4.1080837,1.3354145e-13,3.6338476e-12,8.186011674951076e-11,397476046144784.7,397476046.1447847
51,52,15406.221298466704,4.114676,6.33295349e-05,0.00172328425,0.03882062925485845,834126.0226453232,0.8341260226453232
52,53,15406.221298466704,4.1381197,2.617749e-13,7.1232573e-12,1.6046646098339886e-10,198384505758289.2,198384505.7582892
53,54,15406.221298466704,4.1416798,4.3754174e-11,1.1906116e-09,2.6821049134320534e-08,1183847741874.7068,1183847.7418747067
54,55,15406.221298466704,4.1418653,6.6379827e-12,1.8062869e-10,4.0690440219365055e-09,7802268119055.235,7802268.119055236
55,56,15406.221298466704,4.1491423,3.2500535e-13,8.8438449e-12,1.992263517822789e-10,158518297687181.72,158518297.6871817
56,57,15406.221298466704,4.15554285,0.000464287557,0.0126339067,0.2846055185215163,110452.24811451898,0.11045224811451898
57,58,15406.221298466704,4.1685534,9.477327e-14,2.5789119e-12,5.8095452362790027e-11,536047069170949.06,536047069.17094904
58,59,15406.221298466704,4.1729422,1.2628242e-14,3.4363194e-13,7.741037441641343e-12,4010281838649688.5,4010281838.6496887
59,60,15406.221298466704,4.1768756,4.4201351e-10,1.20278e-08,2.709516598289224e-07,114249611775.71254,114249.61177571255
60,61,15406.221298466704,4.1770525,1.2280417e-11,3.3416717e-10,7.527822779763712e-09,4111705336542.065,4111705.336542065
61,62,15406.221298466704,4.1826806,1.8842379e-11,5.1272719e-10,1.1550266563516646e-08,2668978393743.263,2668978.393743263
62,63,15406.221298466704,4.1829944,4.2147683e-12,1.1468967e-10,2.583627968021442e-09,11929145746516.934,11929145.746516934
63,64,15406.221298466704,4.1836524,2.3880163e-13,6.4981232e-12,1.4638398273924294e-10,210446075249182.84,210446075.24918285
64,65,15406.221298466704,4.1987934,8.2583408e-13,2.2472088e-11,5.062313926089976e-10,60197517335163.65,60197517.335163645
65,66,15406.221298466704,4.2004061,4.0843474e-12,1.1114076e-10,2.503680729912404e-09,12157614911527.754,12157614.911527755
66,67,15406.221298466704,4.2004189,5.6362906e-13,1.5337127e-11,3.455012706168535e-10,88099554170876.66,88099554.17087665
67,68,15406.221298466704,4.2039089,1.9526523e-13,5.3134372e-12,1.1969642777519693e-10,253664734115085.75,253664734.11508575
68,69,15406.221298466704,4.2136521,1.3748852e-13,3.741253e-12,8.427964724748342e-11,357768777040047.25,357768777.0400472
69,70,15406.221298466704,4.2139597,1.4351631e-11,3.9052772e-10,8.79746467636751e-09,3426671762831.7036,3426671.7628317038
70,71,15406.221298466704,4.2337551,5.7330356e-13,1.5600384e-11,3.5143168173260174e-10,84582995613745.97,84582995.61374597
71,72,15406.221298466704,4.2358851,2.0113163e-11,5.4730698e-10,1.2329249617867263e-08,2407309958395.236,2407309.9583952357
72,73,15406.221298466704,4.2359104,1.1056688e-12,3.008678e-11,6.777684161306581e-10,43790464209693.125,43790464.20969313
73,74,15406.221298466704,4.2564621,4.7982996e-11,1.3056838e-09,2.941329193708252e-08,994514743073.6951,994514.7430736951
74,75,15406.221298466704,4.2564883,2.6911323e-12,7.3229429e-11,1.649648137461286e-09,17731910004576.258,17731910.00457626
75,76,15406.221298466704,4.2570772,1.5871096e-11,4.3187448e-10,9.728887708667933e-09,3005407754956.0894,3005407.7549560894
76,77,15406.221298466704,4.25927544,9.77107106e-09,2.65884353e-07,5.989608602717478e-06,4874112503.807392,4874.112503807392
77,78,15406.221298466704,4.2753763,8.6545536e-12,2.3550237e-10,5.305190022355597e-09,5440980768157.394,5440980.768157394
78,79,15406.221298466704,4.2757149,8.9932117e-11,2.4471773e-09,5.512785428906652e-08,523484545374.40125,523484.54537440126
79,80,15406.221298466704,4.2848611,8.135214e-11,2.2137043e-09,4.986837928016016e-08,574997124543.025,574997.124543025
80,81,15406.221298466704,4.29178667,2.0236548e-09,5.50664474e-08,1.2404883891009711e-06,23003508941.349213,23003.508941349213
81,82,15406.221298466704,4.2918086,1.1719146e-11,3.1889419e-10,7.1837669859400374e-09,3972170642596.8545,3972170.6425968544
82,83,15406.221298466704,4.29229784,9.00074184e-08,2.44922626e-06,5.5174013600616615e-05,517007739.49782395,517.007739497824
83,84,15406.221298466704,4.29491711,3.08789936e-07,8.40260145e-06,0.00018928639918193156,150424093.16747,150.42409316747
84,85,15406.221298466704,4.3112311,1.9602866e-11,5.3342114e-10,1.2016440583691543e-08,2342725568944.4004,2342725.5689444
85,86,15406.221298466704,4.31152821,1.00120412e-09,2.724415e-08,6.137321869224213e-07,45859421830.68955,45859.42183068955
86,87,15406.221298466704,4.31167746,1.11786721e-05,0.000304187153,0.00685245969105846,4106916.616303698,4.106916616303698
87,88,15406.221298466704,4.3171749,3.6574838e-10,9.9525188e-09,2.242015875051861e-07,125044201541.45888,125044.20154145888
88,89,15406.221298466704,4.4299393,4.1291758e-11,1.1236059e-09,2.5311602732129577e-08,1025151849114.7606,1025151.8491147606
89,90,15406.221298466704,4.4305186,1.0277362e-12,2.7966122e-11,6.299961945875123e-10,41171771405151.2,41171771.4051512
90,91,15406.221298466704,4.59615469,6.76036734e-06,0.000183958939,0.004144065080332583,5606485.368164375,5.606485368164376
91,92,15406.221298466704,4.665978,1.3007088e-12,3.5394087e-11,7.973267792518056e-10,27850741373106.156,27850741.373106156
92,93,15406.221298466704,4.6660304,7.1293985e-11,1.9400079e-09,4.370278992505974e-08,508100142657.2073,508100.14265720727
93,94,15406.221298466704,4.7425804,1.0084726e-12,2.7441936e-11,6.181877220494661e-10,34208709400990.797,34208709.4009908
94,95,15406.221298466704,4.742837,1.5188628e-10,4.1330361e-09,9.3105388727237e-08,227097187632.72208,227097.18763272208
95,96,15406.221298466704,4.80745554,5.12178894e-06,0.000139370968,0.0031396262403527372,6466620.752483014,6.466620752483014
96,97,15406.221298466704,4.8245134,4.6859201e-12,1.2751036e-10,2.8724412267867333e-09,6993417711440.51,6993417.71144051
97,98,15406.221298466704,4.8245292,2.2920626e-12,6.2370192e-11,1.4050207784413545e-09,14297286059493.336,14297286.059493337
98,99,15406.221298466704,4.8692985,3.140263e-11,8.5450896e-10,1.924962592544629e-08,1015031875846.32,1015031.87584632
99,100,15406.221298466704,4.8693519,6.1712413e-11,1.6792802e-09,3.7829343122109475e-08,516486396038.8609,516486.3960388609
100,101,15406.221298466704,4.8926473,2.8242981e-12,7.6853059e-11,1.731277982988963e-09,11125067036658.219,11125067.036658218
101,102,15406.221298466704,4.892786,1.075044e-10,2.9253435e-09,6.589955953815168e-08,292246956010.2312,292246.9560102312
102,103,15406.221298466704,4.902781,7.9174015e-11,2.1544344e-09,4.8533201574698464e-08,394398039070.46686,394398.0390704669
103,104,15406.221298466704,4.9028058,1.4417289e-12,3.9231438e-11,8.837712640917388e-10,21658442449563.336,21658442.449563336
104,105,15406.221298466704,4.9055667,8.0989222e-11,2.2038289e-09,4.9645912698806594e-08,384901954851.842,384901.95485184196
105,106,15406.221298466704,4.9058156,1.121939e-10,3.0529514e-09,6.877419522240426e-08,277806238770.7798,277806.2387707798
106,107,15406.221298466704,4.93844938,2.38758798e-06,6.49695721e-05,0.001463577269773007,12797162.825628746,12.797162825628746
107,108,15406.221298466704,4.9436412,1.7807397e-12,4.8456388e-11,1.091582873650756e-09,17104233994509.145,17104233.994509146
108,109,15406.221298466704,4.9437833,8.5536064e-11,2.3275546e-09,5.243309987523443e-08,356055221257.3424,356055.22125734243
109,110,15406.221298466704,4.9706407,3.5056551e-11,9.5393726e-10,2.148945782523088e-08,854748993924.9176,854748.9939249177
110,111,15406.221298466704,4.9706869,1.4928864e-11,4.0623505e-10,9.151305081512657e-09,2007099548218.083,2007099.548218083
111,112,15406.221298466704,4.97153234,1.11577059e-08,3.03616616e-07,6.8396075348193775e-06,2684103032.3491006,2684.1030323491004
112,113,15406.221298466704,4.9969168,1.9794366e-13,5.3863207e-12,1.2133828947810187e-10,149003664009320.66,149003664.00932065
113,114,15406.221298466704,4.9969845,6.2629846e-11,1.7042447e-09,3.83917241093599e-08,470911773293.54016,470911.7732935402
114,115,15406.221298466704,5.0039368,3.3326624e-13,9.0686356e-12,2.0429022835284832e-10,88128855437282.7,88128855.4372827
115,116,15406.221298466704,5.0044765,7.3964151e-10,2.0126668e-08,4.5339585844982546e-07,39696083451.52537,39696.08345152537
116,117,15406.221298466704,5.0484347,5.84746e-11,1.5911746e-09,3.584458295818222e-08,489110977369.4228,489110.9773694228
117,118,15406.221298466704,5.0485029,7.6807332e-13,2.0900339e-11,4.708243893366767e-10,37235259885774.35,37235259.88577435
118,119,15406.221298466704,5.07283688,4.31844342e-07,1.17510826e-05,0.000264718020163295,65277719.33046129,65.2777193304613
119,120,15406.221298466704,5.1078291,3.0261184e-12,8.2344867e-11,1.8549926297927924e-09,9125357946830.818,9125357.946830818
120,121,15406.221298466704,5.1082096,2.5493016e-11,6.9370026e-10,1.5627067596294227e-08,1082972812120.3424,1082972.8121203424
121,122,15406.221298466704,5.1082745,8.2894342e-12,2.2556698e-10,5.081373995859618e-09,3330407154001.1553,3330407.1540011554
122,123,15406.221298466704,5.1167645,4.979046e-11,1.3548673e-09,3.052125664811821e-08,551712055304.2096,551712.0553042096
123,124,15406.221298466704,5.1168327,4.5159631e-13,1.2288561e-11,2.7682585938858876e-10,60826224708211.92,60826224.70821192
124,125,15406.221298466704,5.1228709,8.1635011e-12,2.2214017e-10,5.004177752531215e-09,3352958739169.773,3352958.739169773
125,126,15406.221298466704,5.1228995,1.2874399e-10,3.5033021e-09,7.891930222562244e-08,212603508130.89438,212603.5081308944
126,127,15406.221298466704,5.1235452,2.9385745e-12,7.9962682e-11,1.801328738359028e-09,9311003241265.287,9311003.241265288
127,128,15406.221298466704,5.1300001,1.6623959e-10,4.5236095e-09,1.0190388262064552e-07,163967705491.34457,163967.70549134456
128,129,15406.221298466704,5.1307125,1.1944767e-10,3.2503362e-09,7.322071320670125e-08,228104670549.21655,228104.67054921656
129,130,15406.221298466704,5.1386595,2.585402e-11,7.0352368e-10,1.5848360907000683e-08,1048980210342.8911,1048980.210342891
130,131,15406.221298466704,5.1387134,1.2807097e-11,3.4849879e-10,7.850674495763744e-09,2117537014827.2217,2117537.0148272216
131,132,15406.221298466704,5.14879274,9.58540477e-06,0.000260832137,0.005875796268226213,2812666.31586798,2.81266631586798
132,133,15406.221298466704,5.15056372,1.37448251e-06,3.7401569e-05,0.0008425496258933882,19594824.95026146,19.594824950261458
133,134,15406.221298466704,5.16160679,3.24762755e-06,8.83724424e-05,0.0019907764248623,8239937.758601407,8.239937758601407
134,135,15406.221298466704,5.1709375,9.9887416e-13,2.7180751e-11,6.123039352625682e-10,26645646073152.344,26645646.073152345
135,136,15406.221298466704,5.1711006,5.3792405e-11,1.4637658e-09,3.2974425195600065e-08,494737667743.50854,494737.66774350853
136,137,15406.221298466704,5.1947508,2.8186684e-11,7.6699869e-10,1.727827010281502e-08,931336785019.812,931336.785019812
137,138,15406.221298466704,5.1949182,2.1916326e-10,5.9637353e-09,1.343457784141432e-07,119768057790.70198,119768.05779070198
138,139,15406.221298466704,5.20153093,5.43662452e-07,1.47938081e-05,0.00033326185834469594,48097444.678691745,48.097444678691744
139,140,15406.221298466704,5.2080541,1.0090844e-13,2.7458582e-12,6.185627518205773e-11,258161185170736.3,258161185.1707363
140,141,15406.221298466704,5.2111897,5.483892e-12,1.492243e-10,3.361593268320122e-09,4741823203539.23,4741823.203539231
141,142,15406.221298466704,5.2113113,3.5136175e-11,9.5610386e-10,2.1538266864941496e-08,740030070933.234,740030.0709332341
142,143,15406.221298466704,5.21620083,9.47895387e-07,2.57935462e-05,0.0005810542497939231,27354046.302109748,27.354046302109747
143,144,15406.221298466704,5.220058,3.1513573e-11,8.5752788e-10,1.93176333263884e-08,820958620640.066,820958.620640066
144,145,15406.221298466704,5.2201629,2.3688584e-11,6.4459915e-10,1.4520961483274242e-08,1092077930317.644,1092077.930317644
145,146,15406.221298466704,5.2223549,3.8458025e-11,1.0464961e-09,2.3574541211403678e-08,671829044215.2119,671829.0442152119
146,147,15406.221298466704,5.2224088,5.3097735e-11,1.4448629e-09,3.254859660603194e-08,486582303289.7218,486582.3032897218
147,148,15406.221298466704,5.2266474,8.9929349e-12,2.447102e-10,5.51261575214849e-09,2865984527539.7266,2865984.5275397263
148,149,15406.221298466704,5.2269053,8.0827088e-11,2.1994169e-09,4.954652551850367e-08,318826250331.5897,318826.2503315897
149,150,15406.221298466704,5.2379484,1.1124335e-14,3.0270857e-13,6.819151371058715e-12,2301903922616855.0,2301903922.616855
150,151,15406.221298466704,5.2431054,4.3865714e-13,1.1936468e-11,2.688942249272154e-10,58204147376020.086,58204147.37602009
151,152,15406.221298466704,5.24324942,1.04357511e-07,2.83971235e-06,6.397053524690913e-05,244635587.30902314,244.63558730902315
152,153,15406.221298466704,5.24629974,2.47046592e-06,6.72247988e-05,0.0015143809554028918,10315890.715888264,10.315890715888264
153,154,15406.221298466704,5.2572699,1.0859048e-13,2.9548972e-12,6.656532013607321e-11,233223509144592.6,233223509.14459258
154,155,15406.221298466704,5.264924,9.5729206e-12,2.6049243e-10,5.8681435460660095e-09,2634050657798.984,2634050.657798984
155,156,15406.221298466704,5.2650352,4.0114586e-14,1.0915734e-12,2.4590003278519817e-11,628548432338136.1,628548432.3381361
156,157,15406.221298466704,5.2677999,7.6566686e-10,2.0834854e-08,4.69349243630583e-07,32878897017.217674,32878.89701721768
157,158,15406.221298466704,5.2682619,9.3063638e-12,2.5323904e-10,5.704745808746427e-09,2704349409545.088,2704349.4095450877
158,159,15406.221298466704,5.2729235,1.6574273e-14,4.5100894e-13,1.0159931038776829e-11,1514453695931142.5,1514453695.9311426
159,160,15406.221298466704,5.27700615,6.45016218e-09,1.7551784e-07,3.953911157233045e-06,3882499994.120329,3882.499994120329
160,161,15406.221298466704,5.2830882,5.8845771e-12,1.6012747e-10,3.6072108579583157e-09,4240978377358.9185,4240978.377358918
161,162,15406.221298466704,5.283102,6.8675184e-11,1.8687467e-09,4.209748044546569e-08,363394274645.46533,363394.2746454653
162,163,15406.221298466704,5.2837038,5.4874421e-13,1.493209e-11,3.36376945856272e-10,45463153626026.6,45463153.6260266
163,164,15406.221298466704,5.2922726,1.239031e-10,3.3715748e-09,7.595186536933894e-08,200371573297.09915,200371.57329709915
164,165,15406.221298466704,5.2925549,6.1850668e-12,1.6830423e-10,3.7914092617050586e-09,4013325547583.187,4013325.547583187
165,166,15406.221298466704,5.3182697,2.9721633e-13,8.0876677e-12,1.821918473527217e-10,82311621935251.34,82311621.93525134
166,167,15406.221298466704,5.3184071,1.0098421e-11,2.7479202e-10,6.190272174262832e-09,2422404665174.952,2422404.6651749522
